Volksbegehren;Gebiet;"Stimm-berechtigte";"ungültigeEintragungen";"gültigeEintragungen";"Unter-stützungs-erklärungen";"Stimm-beteiligungin%(brutto)";"gültigeEintragungen+UE";Bundesland;Beteiligung (Gültig + Ungültig) in %;Beteiligung (G, Ung, Unter)
Volksbegehren Demokratie Jetzt!;FREISTADT EISENSTADT;10279;2;114;25;1.35%;139;Burgenland;0.011285144;0.013717288
Volksbegehren Demokratie Jetzt!;FREISTADT RUST;1544;0;9;1;0.65%;10;Burgenland;0.005829016;0.006476684
Volksbegehren Demokratie Jetzt!;EISENSTADT UMGEBUNG;33185;3;167;55;0.67%;222;Burgenland;0.005122796;0.006780172
Volksbegehren Demokratie Jetzt!;GÜSSING;21767;1;76;21;0.45%;97;Burgenland;0.003537465;0.004502228
Volksbegehren Demokratie Jetzt!;JENNERSDORF;14655;1;96;21;0.80%;117;Burgenland;0.006618901;0.008051859
Volksbegehren Demokratie Jetzt!;MATTERSBURG;31054;1;184;38;0.71%;222;Burgenland;0.005957365;0.007181039
Volksbegehren Demokratie Jetzt!;NEUSIEDL AM SEE;44442;1;236;34;0.61%;270;Burgenland;0.005332793;0.006097835
Volksbegehren Demokratie Jetzt!;OBERPULLENDORF;31118;2;173;21;0.62%;194;Burgenland;0.005623755;0.006298605
Volksbegehren Demokratie Jetzt!;OBERWART;43358;1;238;42;0.65%;280;Burgenland;0.005512247;0.006480926
Volksbegehren Demokratie Jetzt!;KLAGENFURT STADT;72972;3;634;86;0.99%;720;Kärnten;0.008729376;0.00990791
Volksbegehren Demokratie Jetzt!;VILLACH STADT;44657;0;317;46;0.81%;363;Kärnten;0.007098551;0.008128625
Volksbegehren Demokratie Jetzt!;HERMAGOR;14966;0;78;7;0.57%;85;Kärnten;0.005211813;0.00567954
Volksbegehren Demokratie Jetzt!;KLAGENFURT LAND;46663;0;343;66;0.88%;409;Kärnten;0.007350578;0.008764974
Volksbegehren Demokratie Jetzt!;SANKT VEIT AN DER GLAN;45330;0;252;39;0.64%;291;Kärnten;0.005559232;0.00641959
Volksbegehren Demokratie Jetzt!;SPITTAL AN DER DRAU;62172;3;344;46;0.63%;390;Kärnten;0.005581291;0.006321174
Volksbegehren Demokratie Jetzt!;VILLACH LAND;57557;1;275;53;0.57%;328;Kärnten;0.004795246;0.005716073
Volksbegehren Demokratie Jetzt!;VÖLKERMARKT;33695;1;191;18;0.62%;209;Kärnten;0.005698175;0.006232379
Volksbegehren Demokratie Jetzt!;WOLFSBERG;43750;0;171;11;0.42%;182;Kärnten;0.003908571;0.00416
Volksbegehren Demokratie Jetzt!;FELDKIRCHEN;24271;0;131;8;0.57%;139;Kärnten;0.005397388;0.005726999
Volksbegehren Demokratie Jetzt!;KREMS AN DER DONAU STADT;18503;0;148;29;0.96%;177;Niederösterreich;0.007998703;0.009566016
Volksbegehren Demokratie Jetzt!;SANKT PÖLTEN STADT;38974;0;375;57;1.11%;432;Niederösterreich;0.009621799;0.011084313
Volksbegehren Demokratie Jetzt!;WAIDHOFEN AN DER YBBS;9043;0;82;23;1.16%;105;Niederösterreich;0.009067787;0.011611191
Volksbegehren Demokratie Jetzt!;WIENER NEUSTADT STADT;30664;1;210;44;0.83%;254;Niederösterreich;0.006881033;0.008315941
Volksbegehren Demokratie Jetzt!;AMSTETTEN;89468;4;598;111;0.79%;709;Niederösterreich;0.006728663;0.00796933
Volksbegehren Demokratie Jetzt!;BADEN;103467;6;1005;237;1.20%;1242;Niederösterreich;0.009771231;0.012061817
Volksbegehren Demokratie Jetzt!;BRUCK AN DER LEITHA;33014;1;232;42;0.83%;274;Niederösterreich;0.007057612;0.008329799
Volksbegehren Demokratie Jetzt!;GÄNSERNDORF;75462;1;472;77;0.73%;549;Niederösterreich;0.006268055;0.007288437
Volksbegehren Demokratie Jetzt!;GMÜND;31572;0;153;35;0.60%;188;Niederösterreich;0.004846066;0.005954643
Volksbegehren Demokratie Jetzt!;HOLLABRUNN;41141;0;239;51;0.70%;290;Niederösterreich;0.00580929;0.007048929
Volksbegehren Demokratie Jetzt!;HORN;25978;1;133;33;0.64%;166;Niederösterreich;0.005158211;0.006428516
Volksbegehren Demokratie Jetzt!;KORNEUBURG;59214;2;486;107;1.00%;593;Niederösterreich;0.008241294;0.010048299
Volksbegehren Demokratie Jetzt!;KREMS AN DER DONAU LAND;45660;0;262;64;0.71%;326;Niederösterreich;0.005738064;0.007139728
Volksbegehren Demokratie Jetzt!;LILIENFELD;20791;0;127;31;0.76%;158;Niederösterreich;0.006108412;0.007599442
Volksbegehren Demokratie Jetzt!;MELK;61306;2;359;127;0.79%;486;Niederösterreich;0.005888494;0.007960069
Volksbegehren Demokratie Jetzt!;MISTELBACH;60320;3;409;69;0.79%;478;Niederösterreich;0.006830239;0.007974138
Volksbegehren Demokratie Jetzt!;MÖDLING;87433;4;1184;305;1.70%;1489;Niederösterreich;0.013587547;0.017075932
Volksbegehren Demokratie Jetzt!;NEUNKIRCHEN;68111;0;481;78;0.82%;559;Niederösterreich;0.007062002;0.008207191
Volksbegehren Demokratie Jetzt!;SANKT PÖLTEN LAND;77171;0;656;118;1.00%;774;Niederösterreich;0.008500603;0.010029674
Volksbegehren Demokratie Jetzt!;SCHEIBBS;33160;0;225;33;0.78%;258;Niederösterreich;0.006785283;0.007780458
Volksbegehren Demokratie Jetzt!;TULLN ;55874;0;462;115;1.03%;577;Niederösterreich;0.008268604;0.010326807
Volksbegehren Demokratie Jetzt!;WAIDHOFEN AN DER THAYA;22585;1;106;24;0.58%;130;Niederösterreich;0.004737658;0.00580031
Volksbegehren Demokratie Jetzt!;WIENER NEUSTADT LAND;57001;4;364;48;0.72%;412;Niederösterreich;0.006456027;0.007298118
Volksbegehren Demokratie Jetzt!;WIEN UMGEBUNG;87356;4;973;206;1.35%;1179;Niederösterreich;0.01118412;0.013542287
Volksbegehren Demokratie Jetzt!;ZWETTL;36246;4;179;29;0.57%;208;Niederösterreich;0.005048833;0.005848921
Volksbegehren Demokratie Jetzt!;LINZ STADT;139718;0;1516;204;1.23%;1720;Oberösterreich;0.010850427;0.012310511
Volksbegehren Demokratie Jetzt!;STEYR STADT;28120;0;222;19;0.86%;241;Oberösterreich;0.007894737;0.008570413
Volksbegehren Demokratie Jetzt!;WELS STADT;40250;1;289;39;0.81%;328;Oberösterreich;0.007204969;0.008173913
Volksbegehren Demokratie Jetzt!;BRAUNAU AM INN;74675;4;448;115;0.75%;563;Oberösterreich;0.006052896;0.007592903
Volksbegehren Demokratie Jetzt!;EFERDING;25264;1;127;22;0.59%;149;Oberösterreich;0.005066498;0.005937302
Volksbegehren Demokratie Jetzt!;FREISTADT;52571;0;314;28;0.65%;342;Oberösterreich;0.005972875;0.006505488
Volksbegehren Demokratie Jetzt!;GMUNDEN;77860;9;577;115;0.89%;692;Oberösterreich;0.007526329;0.009003339
Volksbegehren Demokratie Jetzt!;GRIESKIRCHEN;49590;1;298;55;0.71%;353;Oberösterreich;0.006029441;0.007138536
Volksbegehren Demokratie Jetzt!;KIRCHDORF AN DER KREMS;42947;1;275;50;0.76%;325;Oberösterreich;0.006426526;0.007590751
Volksbegehren Demokratie Jetzt!;LINZ LAND;104838;2;706;132;0.80%;838;Oberösterreich;0.006753276;0.008012362
Volksbegehren Demokratie Jetzt!;PERG;51665;0;281;46;0.63%;327;Oberösterreich;0.005438885;0.006329236
Volksbegehren Demokratie Jetzt!;RIED IM INNKREIS;45945;3;181;30;0.46%;211;Oberösterreich;0.004004788;0.004657743
Volksbegehren Demokratie Jetzt!;ROHRBACH;45922;0;215;37;0.55%;252;Oberösterreich;0.004681852;0.005487566
Volksbegehren Demokratie Jetzt!;SCHÄRDING;44205;1;169;23;0.43%;192;Oberösterreich;0.003845719;0.004366022
Volksbegehren Demokratie Jetzt!;STEYR LAND;47152;0;302;66;0.78%;368;Oberösterreich;0.006404818;0.007804547
Volksbegehren Demokratie Jetzt!;URFAHR UMGEBUNG;66382;1;516;107;0.94%;623;Oberösterreich;0.007788256;0.009400139
Volksbegehren Demokratie Jetzt!;VÖCKLABRUCK;100584;4;702;149;0.85%;851;Oberösterreich;0.007019009;0.008500358
Volksbegehren Demokratie Jetzt!;WELS LAND;52415;3;346;49;0.75%;395;Oberösterreich;0.006658399;0.007593246
Volksbegehren Demokratie Jetzt!;SALZBURG STADT;99662;7;2532;1029;3.57%;3561;Salzburg;0.025476109;0.035801007
Volksbegehren Demokratie Jetzt!;HALLEIN;42412;0;477;225;1.66%;702;Salzburg;0.011246817;0.016551919
Volksbegehren Demokratie Jetzt!;SALZBURG UMGEBUNG;109997;33;1417;771;1.99%;2188;Salzburg;0.013182178;0.02019146
Volksbegehren Demokratie Jetzt!;SANKT JOHANN IM PONGAU;57705;9;442;199;1.11%;641;Salzburg;0.007815614;0.011264189
Volksbegehren Demokratie Jetzt!;TAMSWEG;16223;0;133;40;1.07%;173;Salzburg;0.008198237;0.010663872
Volksbegehren Demokratie Jetzt!;ZELL AM SEE;63398;10;477;208;1.08%;685;Salzburg;0.00768163;0.010962491
Volksbegehren Demokratie Jetzt!;GRAZ STADT;194802;1;2330;269;1.33%;2599;Steiermark;0.011965996;0.013346886
Volksbegehren Demokratie Jetzt!;BRUCK-MÜRZZUSCHLAG (ehem Bruck/Mur-Mürzzuschlag);82073;4;601;64;0.81%;665;Steiermark;0.007371486;0.00815128
Volksbegehren Demokratie Jetzt!;DEUTSCHLANDSBERG;50161;0;405;35;0.88%;440;Steiermark;0.008074002;0.008771755
Volksbegehren Demokratie Jetzt!;GRAZ-UMGEBUNG;115647;3;1068;92;1.00%;1160;Steiermark;0.009260941;0.010056465
Volksbegehren Demokratie Jetzt!;HARTBERG-FÜRSTENFELD (ehem. Hartberg-Fürstenfeld);73346;1;410;54;0.63%;464;Steiermark;0.005603578;0.006339814
Volksbegehren Demokratie Jetzt!;MURTAL (ehem. Judenburg/Knittelfeld);59747;2;424;33;0.76%;457;Steiermark;0.007130065;0.007682394
Volksbegehren Demokratie Jetzt!;LEIBNITZ;63190;2;362;33;0.63%;395;Steiermark;0.005760405;0.00628264
Volksbegehren Demokratie Jetzt!;LEOBEN;51097;0;404;39;0.87%;443;Steiermark;0.007906531;0.008669785
Volksbegehren Demokratie Jetzt!;LIEZEN;62874;1;493;40;0.85%;533;Steiermark;0.007856984;0.008493177
Volksbegehren Demokratie Jetzt!;MURAU;23902;3;176;16;0.80%;192;Steiermark;0.007488913;0.008158313
Volksbegehren Demokratie Jetzt!;SÜDOSTSTEIERMARK (ehem. Radkersburg-Feldbach);73473;2;334;41;0.51%;375;Steiermark;0.004573108;0.005131137
Volksbegehren Demokratie Jetzt!;VOITSBERG;43419;2;278;23;0.69%;301;Steiermark;0.00644879;0.006978512
Volksbegehren Demokratie Jetzt!;WEIZ;71823;25;443;41;0.67%;484;Steiermark;0.006516019;0.007086866
Volksbegehren Demokratie Jetzt!;INNSBRUCK STADT;87800;0;1210;291;1.71%;1501;Tirol;0.013781321;0.017095672
Volksbegehren Demokratie Jetzt!;IMST;42889;1;185;51;0.55%;236;Tirol;0.004336776;0.005525892
Volksbegehren Demokratie Jetzt!;INNSBRUCK LAND;126783;10;1163;412;1.24%;1575;Tirol;0.009252029;0.012501676
Volksbegehren Demokratie Jetzt!;KITZBÜHEL;51460;2;319;81;0.78%;400;Tirol;0.006237855;0.007811893
Volksbegehren Demokratie Jetzt!;KUFSTEIN;74115;1;516;101;0.83%;617;Tirol;0.006975646;0.008338393
Volksbegehren Demokratie Jetzt!;LANDECK;33405;1;101;39;0.42%;140;Tirol;0.003053435;0.004220925
Volksbegehren Demokratie Jetzt!;LIENZ;39743;1;267;43;0.78%;310;Tirol;0.006743326;0.007825277
Volksbegehren Demokratie Jetzt!;REUTTE;22561;1;170;42;0.94%;212;Tirol;0.007579451;0.009441071
Volksbegehren Demokratie Jetzt!;SCHWAZ;58963;4;312;93;0.69%;405;Tirol;0.005359293;0.006936553
Volksbegehren Demokratie Jetzt!;BLUDENZ;46049;5;832;122;2.07%;954;Vorarlberg;0.01817629;0.020825642
Volksbegehren Demokratie Jetzt!;BREGENZ;89513;3;1352;185;1.72%;1537;Vorarlberg;0.015137466;0.017204205
Volksbegehren Demokratie Jetzt!;DORNBIRN;58339;5;938;59;1.71%;997;Vorarlberg;0.016164144;0.017175474
Volksbegehren Demokratie Jetzt!;FELDKIRCH;72189;13;1258;207;2.03%;1465;Vorarlberg;0.017606561;0.020474033
Volksbegehren Demokratie Jetzt!;INNERE STADT;11626;0;689;83;6.64%;772;Wien;0.059263719;0.06640289
Volksbegehren Demokratie Jetzt!;LEOPOLDSTADT;59136;0;900;201;1.86%;1101;Wien;0.015219156;0.018618101
Volksbegehren Demokratie Jetzt!;LANDSTRASSE;56422;3;976;234;2.14%;1210;Wien;0.017351388;0.021498706
Volksbegehren Demokratie Jetzt!;WIEDEN;20378;0;545;92;3.13%;637;Wien;0.026744528;0.031259201
Volksbegehren Demokratie Jetzt!;MARGARETEN;32313;0;712;80;2.45%;792;Wien;0.022034475;0.024510259
Volksbegehren Demokratie Jetzt!;MARIAHILF;20547;0;334;75;1.99%;409;Wien;0.016255414;0.019905582
Volksbegehren Demokratie Jetzt!;NEUBAU;20541;0;657;97;3.67%;754;Wien;0.031984811;0.036707074
Volksbegehren Demokratie Jetzt!;JOSEFSTADT;16170;0;359;85;2.75%;444;Wien;0.022201608;0.027458256
Volksbegehren Demokratie Jetzt!;ALSERGRUND;26378;1;591;111;2.66%;702;Wien;0.022442945;0.026650997
Volksbegehren Demokratie Jetzt!;FAVORITEN;111254;0;635;138;0.69%;773;Wien;0.00570766;0.006948065
Volksbegehren Demokratie Jetzt!;SIMMERING;60257;0;382;60;0.73%;442;Wien;0.006339512;0.007335247
Volksbegehren Demokratie Jetzt!;MEIDLING;56419;0;654;125;1.38%;779;Wien;0.01159184;0.013807405
Volksbegehren Demokratie Jetzt!;HIETZING;38302;2;675;178;2.23%;853;Wien;0.017675317;0.022322594
Volksbegehren Demokratie Jetzt!;PENZING;60192;0;608;177;1.30%;785;Wien;0.01010101;0.0130416
Volksbegehren Demokratie Jetzt!;RUDOLFSHEIM-FÜNFHAUS;40797;0;445;66;1.25%;511;Wien;0.010907665;0.012525431
Volksbegehren Demokratie Jetzt!;OTTAKRING;58797;0;641;106;1.27%;747;Wien;0.010901917;0.01270473
Volksbegehren Demokratie Jetzt!;HERNALS;33220;0;622;103;2.18%;725;Wien;0.01872366;0.021824202
Volksbegehren Demokratie Jetzt!;WÄHRING;32086;6;750;191;2.93%;941;Wien;0.023561678;0.02951443
Volksbegehren Demokratie Jetzt!;DÖBLING;48781;0;725;216;1.93%;941;Wien;0.014862344;0.019290297
Volksbegehren Demokratie Jetzt!;BRIGITTENAU;49635;0;494;77;1.15%;571;Wien;0.009952654;0.011503979
Volksbegehren Demokratie Jetzt!;FLORIDSDORF;104417;0;753;114;0.83%;867;Wien;0.007211469;0.008303246
Volksbegehren Demokratie Jetzt!;DONAUSTADT;118485;1;752;155;0.77%;907;Wien;0.006355235;0.007663417
Volksbegehren Demokratie Jetzt!;LIESING;70507;0;649;171;1.16%;820;Wien;0.00920476;0.011630051
Volksbegehren gegen Kirchenprivilegien;FREISTADT EISENSTADT;10279;0;83;20;1.00%;103;Burgenland;0.008074715;0.01002043
Volksbegehren gegen Kirchenprivilegien;FREISTADT RUST;1544;0;3;1;0.26%;4;Burgenland;0.001943005;0.002590674
Volksbegehren gegen Kirchenprivilegien;EISENSTADT UMGEBUNG;33185;2;183;52;0.71%;235;Burgenland;0.005574808;0.007141781
Volksbegehren gegen Kirchenprivilegien;GÜSSING;21767;0;68;16;0.39%;84;Burgenland;0.003123995;0.003859053
Volksbegehren gegen Kirchenprivilegien;JENNERSDORF;14655;0;68;11;0.54%;79;Burgenland;0.004640055;0.005390652
Volksbegehren gegen Kirchenprivilegien;MATTERSBURG;31054;4;195;31;0.73%;226;Burgenland;0.006408192;0.007406453
Volksbegehren gegen Kirchenprivilegien;NEUSIEDL AM SEE;44442;1;214;31;0.55%;245;Burgenland;0.004837766;0.005535304
Volksbegehren gegen Kirchenprivilegien;OBERPULLENDORF;31118;1;155;19;0.56%;174;Burgenland;0.005013176;0.005623755
Volksbegehren gegen Kirchenprivilegien;OBERWART;43358;0;187;21;0.48%;208;Burgenland;0.00431293;0.004797269
Volksbegehren gegen Kirchenprivilegien;KLAGENFURT STADT;72972;2;447;57;0.69%;504;Kärnten;0.006153045;0.006934167
Volksbegehren gegen Kirchenprivilegien;VILLACH STADT;44657;0;242;22;0.59%;264;Kärnten;0.005419083;0.005911727
Volksbegehren gegen Kirchenprivilegien;HERMAGOR;14966;0;44;2;0.31%;46;Kärnten;0.002939997;0.003073634
Volksbegehren gegen Kirchenprivilegien;KLAGENFURT LAND;46663;0;225;28;0.54%;253;Kärnten;0.004821807;0.005421855
Volksbegehren gegen Kirchenprivilegien;SANKT VEIT AN DER GLAN;45330;1;201;39;0.53%;240;Kärnten;0.00445621;0.005316567
Volksbegehren gegen Kirchenprivilegien;SPITTAL AN DER DRAU;62172;0;240;13;0.41%;253;Kärnten;0.003860259;0.004069356
Volksbegehren gegen Kirchenprivilegien;VILLACH LAND;57557;1;183;24;0.36%;207;Kärnten;0.003196831;0.003613809
Volksbegehren gegen Kirchenprivilegien;VÖLKERMARKT;33695;0;148;10;0.47%;158;Kärnten;0.004392343;0.004689123
Volksbegehren gegen Kirchenprivilegien;WOLFSBERG;43750;0;124;7;0.30%;131;Kärnten;0.002834286;0.002994286
Volksbegehren gegen Kirchenprivilegien;FELDKIRCHEN;24271;0;95;11;0.44%;106;Kärnten;0.003914136;0.004367352
Volksbegehren gegen Kirchenprivilegien;KREMS AN DER DONAU STADT;18503;0;138;17;0.84%;155;Niederösterreich;0.00745825;0.00837702
Volksbegehren gegen Kirchenprivilegien;SANKT PÖLTEN STADT;38974;0;409;141;1.41%;550;Niederösterreich;0.010494176;0.014111972
Volksbegehren gegen Kirchenprivilegien;WAIDHOFEN AN DER YBBS;9043;0;64;9;0.81%;73;Niederösterreich;0.007077297;0.008072542
Volksbegehren gegen Kirchenprivilegien;WIENER NEUSTADT STADT;30664;0;179;38;0.71%;217;Niederösterreich;0.005837464;0.007076702
Volksbegehren gegen Kirchenprivilegien;AMSTETTEN;89468;2;533;59;0.66%;592;Niederösterreich;0.005979792;0.006639245
Volksbegehren gegen Kirchenprivilegien;BADEN;103467;2;907;122;0.99%;1029;Niederösterreich;0.00878541;0.00996453
Volksbegehren gegen Kirchenprivilegien;BRUCK AN DER LEITHA;33014;0;213;24;0.72%;237;Niederösterreich;0.006451808;0.007178773
Volksbegehren gegen Kirchenprivilegien;GÄNSERNDORF;75462;3;532;113;0.85%;645;Niederösterreich;0.007089661;0.008587103
Volksbegehren gegen Kirchenprivilegien;GMÜND;31572;0;165;39;0.65%;204;Niederösterreich;0.00522615;0.006461422
Volksbegehren gegen Kirchenprivilegien;HOLLABRUNN;41141;0;215;28;0.59%;243;Niederösterreich;0.00522593;0.005906517
Volksbegehren gegen Kirchenprivilegien;HORN;25978;1;119;33;0.59%;152;Niederösterreich;0.004619293;0.005889599
Volksbegehren gegen Kirchenprivilegien;KORNEUBURG;59214;3;391;149;0.91%;540;Niederösterreich;0.006653832;0.009170129
Volksbegehren gegen Kirchenprivilegien;KREMS AN DER DONAU LAND;45660;0;243;55;0.65%;298;Niederösterreich;0.005321945;0.0065265
Volksbegehren gegen Kirchenprivilegien;LILIENFELD;20791;1;172;31;0.98%;203;Niederösterreich;0.008320908;0.009811938
Volksbegehren gegen Kirchenprivilegien;MELK;61306;0;355;44;0.65%;399;Niederösterreich;0.005790624;0.006508335
Volksbegehren gegen Kirchenprivilegien;MISTELBACH;60320;0;375;36;0.68%;411;Niederösterreich;0.006216844;0.00681366
Volksbegehren gegen Kirchenprivilegien;MÖDLING;87433;1;842;148;1.13%;990;Niederösterreich;0.009641668;0.011334393
Volksbegehren gegen Kirchenprivilegien;NEUNKIRCHEN;68111;3;418;69;0.72%;487;Niederösterreich;0.006181087;0.007194139
Volksbegehren gegen Kirchenprivilegien;SANKT PÖLTEN LAND;77171;0;614;209;1.07%;823;Niederösterreich;0.007956357;0.010664628
Volksbegehren gegen Kirchenprivilegien;SCHEIBBS;33160;2;206;25;0.70%;231;Niederösterreich;0.006272618;0.007026538
Volksbegehren gegen Kirchenprivilegien;TULLN ;55874;0;451;53;0.90%;504;Niederösterreich;0.008071733;0.009020296
Volksbegehren gegen Kirchenprivilegien;WAIDHOFEN AN DER THAYA;22585;3;107;22;0.57%;129;Niederösterreich;0.004870489;0.005844587
Volksbegehren gegen Kirchenprivilegien;WIENER NEUSTADT LAND;57001;1;338;48;0.68%;386;Niederösterreich;0.005947264;0.006789355
Volksbegehren gegen Kirchenprivilegien;WIEN UMGEBUNG;87356;2;805;140;1.08%;945;Niederösterreich;0.00923806;0.010840698
Volksbegehren gegen Kirchenprivilegien;ZWETTL;36246;1;166;19;0.51%;185;Niederösterreich;0.004607405;0.005131601
Volksbegehren gegen Kirchenprivilegien;LINZ STADT;139718;0;1511;220;1.24%;1731;Oberösterreich;0.010814641;0.012389241
Volksbegehren gegen Kirchenprivilegien;STEYR STADT;28120;0;204;16;0.78%;220;Oberösterreich;0.007254623;0.007823613
Volksbegehren gegen Kirchenprivilegien;WELS STADT;40250;0;256;31;0.71%;287;Oberösterreich;0.006360248;0.007130435
Volksbegehren gegen Kirchenprivilegien;BRAUNAU AM INN;74675;2;364;36;0.54%;400;Oberösterreich;0.004901239;0.005383328
Volksbegehren gegen Kirchenprivilegien;EFERDING;25264;0;84;16;0.40%;100;Oberösterreich;0.003324889;0.003958201
Volksbegehren gegen Kirchenprivilegien;FREISTADT;52571;0;254;31;0.54%;285;Oberösterreich;0.004831561;0.00542124
Volksbegehren gegen Kirchenprivilegien;GMUNDEN;77860;3;385;92;0.61%;477;Oberösterreich;0.004983303;0.006164911
Volksbegehren gegen Kirchenprivilegien;GRIESKIRCHEN;49590;0;225;24;0.50%;249;Oberösterreich;0.004537205;0.005021174
Volksbegehren gegen Kirchenprivilegien;KIRCHDORF AN DER KREMS;42947;0;209;12;0.51%;221;Oberösterreich;0.004866463;0.005145877
Volksbegehren gegen Kirchenprivilegien;LINZ LAND;104838;1;569;104;0.64%;673;Oberösterreich;0.00543696;0.006428967
Volksbegehren gegen Kirchenprivilegien;PERG;51665;1;239;23;0.51%;262;Oberösterreich;0.004645311;0.005090487
Volksbegehren gegen Kirchenprivilegien;RIED IM INNKREIS;45945;2;116;33;0.32%;149;Oberösterreich;0.002568288;0.003286538
Volksbegehren gegen Kirchenprivilegien;ROHRBACH;45922;0;171;20;0.42%;191;Oberösterreich;0.003723705;0.004159227
Volksbegehren gegen Kirchenprivilegien;SCHÄRDING;44205;2;119;23;0.32%;142;Oberösterreich;0.002737247;0.00325755
Volksbegehren gegen Kirchenprivilegien;STEYR LAND;47152;0;231;38;0.57%;269;Oberösterreich;0.00489905;0.005704954
Volksbegehren gegen Kirchenprivilegien;URFAHR UMGEBUNG;66382;2;376;57;0.65%;433;Oberösterreich;0.005694315;0.006552981
Volksbegehren gegen Kirchenprivilegien;VÖCKLABRUCK;100584;2;511;68;0.58%;579;Oberösterreich;0.005100215;0.005776267
Volksbegehren gegen Kirchenprivilegien;WELS LAND;52415;0;262;19;0.54%;281;Oberösterreich;0.004998569;0.005361061
Volksbegehren gegen Kirchenprivilegien;SALZBURG STADT;99662;2;1852;93;1.95%;1945;Salzburg;0.018602878;0.019536032
Volksbegehren gegen Kirchenprivilegien;HALLEIN;42412;0;296;13;0.73%;309;Salzburg;0.006979157;0.007285674
Volksbegehren gegen Kirchenprivilegien;SALZBURG UMGEBUNG;109997;10;807;51;0.78%;858;Salzburg;0.007427475;0.007891124
Volksbegehren gegen Kirchenprivilegien;SANKT JOHANN IM PONGAU;57705;2;237;26;0.46%;263;Salzburg;0.004141755;0.004592323
Volksbegehren gegen Kirchenprivilegien;TAMSWEG;16223;0;69;7;0.47%;76;Salzburg;0.004253221;0.004684707
Volksbegehren gegen Kirchenprivilegien;ZELL AM SEE;63398;0;283;25;0.49%;308;Salzburg;0.004463863;0.004858197
Volksbegehren gegen Kirchenprivilegien;GRAZ STADT;194802;0;2120;358;1.27%;2478;Steiermark;0.010882845;0.012720609
Volksbegehren gegen Kirchenprivilegien;BRUCK-MÜRZZUSCHLAG (ehem. Bruck/Mur-Mürzzuschlag);82073;0;493;24;0.63%;517;Steiermark;0.006006848;0.00629927
Volksbegehren gegen Kirchenprivilegien;DEUTSCHLANDSBERG;50161;0;308;60;0.73%;368;Steiermark;0.006140228;0.007336377
Volksbegehren gegen Kirchenprivilegien;GRAZ-UMGEBUNG;115647;0;742;56;0.69%;798;Steiermark;0.006416077;0.006900309
Volksbegehren gegen Kirchenprivilegien;HARTBERG-FÜRSTENFELD (ehem. Hartberg-Fürstenfeld);73346;0;257;33;0.40%;290;Steiermark;0.00350394;0.003953863
Volksbegehren gegen Kirchenprivilegien;MURTAL (ehem. Judenburg-Knittelfeld);59747;3;330;5;0.56%;335;Steiermark;0.005573502;0.005657188
Volksbegehren gegen Kirchenprivilegien;LEIBNITZ;63190;0;232;57;0.46%;289;Steiermark;0.003671467;0.004573508
Volksbegehren gegen Kirchenprivilegien;LEOBEN;51097;3;322;65;0.76%;387;Steiermark;0.006360452;0.007632542
Volksbegehren gegen Kirchenprivilegien;LIEZEN;62874;0;322;37;0.57%;359;Steiermark;0.005121354;0.005709832
Volksbegehren gegen Kirchenprivilegien;MURAU;23902;0;118;25;0.60%;143;Steiermark;0.004936825;0.005982763
Volksbegehren gegen Kirchenprivilegien;SÜDOSTSTEIERMARK (ehem. Radkersburg-Feldbach);73473;0;237;49;0.39%;286;Steiermark;0.003225675;0.003892586
Volksbegehren gegen Kirchenprivilegien;VOITSBERG;43419;1;212;44;0.59%;256;Steiermark;0.004905686;0.005919068
Volksbegehren gegen Kirchenprivilegien;WEIZ;71823;18;306;17;0.45%;323;Steiermark;0.00451109;0.004747783
Volksbegehren gegen Kirchenprivilegien;INNSBRUCK STADT;87800;0;1188;163;1.54%;1351;Tirol;0.013530752;0.015387244
Volksbegehren gegen Kirchenprivilegien;IMST;42889;1;191;25;0.50%;216;Tirol;0.004476672;0.005059572
Volksbegehren gegen Kirchenprivilegien;INNSBRUCK LAND;126783;1;978;100;0.85%;1078;Tirol;0.007721855;0.008510605
Volksbegehren gegen Kirchenprivilegien;KITZBÜHEL;51460;0;287;21;0.60%;308;Tirol;0.005577147;0.005985231
Volksbegehren gegen Kirchenprivilegien;KUFSTEIN;74115;1;472;28;0.67%;500;Tirol;0.006381974;0.006759765
Volksbegehren gegen Kirchenprivilegien;LANDECK;33405;1;77;14;0.27%;91;Tirol;0.00233498;0.002754079
Volksbegehren gegen Kirchenprivilegien;LIENZ;39743;0;162;8;0.43%;170;Tirol;0.00407619;0.004277483
Volksbegehren gegen Kirchenprivilegien;REUTTE;22561;2;150;16;0.74%;166;Tirol;0.00673729;0.007446478
Volksbegehren gegen Kirchenprivilegien;SCHWAZ;58963;4;279;57;0.57%;336;Tirol;0.00479962;0.005766328
Volksbegehren gegen Kirchenprivilegien;BLUDENZ;46049;0;524;53;1.25%;577;Vorarlberg;0.011379183;0.012530131
Volksbegehren gegen Kirchenprivilegien;BREGENZ;89513;7;890;97;1.10%;987;Vorarlberg;0.010020891;0.011104532
Volksbegehren gegen Kirchenprivilegien;DORNBIRN;58339;4;643;85;1.25%;728;Vorarlberg;0.011090351;0.012547353
Volksbegehren gegen Kirchenprivilegien;FELDKIRCH;72189;9;843;126;1.34%;969;Vorarlberg;0.011802352;0.01354777
