Jahr,Art der Entscheidung,Rechtskräftig positiv,Rechtskräftig negativ,sonstige,Summe,Anmerkung
2004,II. Instanz – § 7 rechtskräftig,1065,531,,1596,Verfahren nach dem AsIyG 1997
2004,II. Instanz – §§ 10 u 11 rechtskräftig,912,210,,1122,Verfahren nach dem AsIyG 1997
2004,Einstellung,,,4455,4455,Verfahren nach dem AsIyG 1997
2004,Gegenstandslos,,,5261,5261,Verfahren nach dem AsIyG 1997
2004,Zurückweisung,,,463,463,Verfahren nach dem AsIyG 1997
2004,Zurückziehung,,,1178,1178,Verfahren nach dem AsIyG 1997
2004,I. Instanz – § 4 rechtskräftig,,4,,4,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 5 rechtskräftig,,663,,663,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 6 rechtskräftig,,23,,23,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 7 rechtskräftig,349,350,,699,Verfahren nach dem AsylG 2003
2004,II. Instanz – § 5 rechtskräftig,,17,,17,Verfahren nach dem AsylG 2003
2004,II. Instanz – § 6 rechtskräftig,,10,,10,Verfahren nach dem AsylG 2003
2004,II. Instanz – § 7 rechtskräftig,2,43,,45,Verfahren nach dem AsylG 2003
2004,Gegenstandslos § 16,,,59,59,Verfahren nach dem AsylG 2003
2004,Gegenstandslos sonst,,,585,585,Verfahren nach dem AsylG 2003
2004,Einstellung,,,3148,3148,Verfahren nach dem AsylG 2003
2004,sonst. Verfahrenserledigungen,,70,,70,Verfahren nach dem AsylG 2003
2003,I. Instanz – § 4 rechtskräftig,,131,,131,Verfahren nach dem AsIyG 1997
2003,I. Instanz – § 5 rechtskräftig,,165,,165,Verfahren nach dem AsIyG 1997
2003,I. Instanz – § 6 rechtskräftig,,109,,109,Verfahren nach dem AsIyG 1997
2003,I. Instanz – § 7 rechtskräftig,455,2672,,3127,Verfahren nach dem AsIyG 1997
2003,I. Instanz – §§ 10 u 11 rechtskräftig,884,274,,1158,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 4 rechtskräftig,,15,,15,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 5 rechtskräftig,,63,,63,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 6 rechtskräftig,,118,,118,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 7 rechtskräftig,421,1170,,1591,Verfahren nach dem AsIyG 1997
2003,II. Instanz – §§ 10 u 11 rechtskräftig,324,234,,558,Verfahren nach dem AsIyG 1997
2003,Zurückziehung,,,3123,3123,Verfahren nach dem AsIyG 1997
2003,Gegenstandslos,,,7065,7065,Verfahren nach dem AsIyG 1997
2003,Einstellung,,,18029,18029,Verfahren nach dem AsIyG 1997
2003,$ 2 AsylG: § 68 AVG,,,1063,1063,Verfahren nach dem AsIyG 1997
2002,Gesamt,1073,4285,24523,29881,Verfahren nach dem AsIyG 1997
