ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
486,Humanistische Partei - Bezirksgruppe Währing,"Abkürzung ""HP""",09.11.1993,1993,"486 ""Humanistische Partei - Bezirksgruppe Währing"", Abkürzung ""HP"" 09.11.1993"
487,Humanistische Partei - Regionalsektion Wien,"Abkürzung ""HP""",09.11.1993,1993,"487 ""Humanistische Partei - Regionalsektion Wien"", Abkürzung ""HP"" 09.11.1993"
488,Humanistische Partei Österreichs,(HPÖ),18.01.2006,2006,"488 ""Humanistische Partei Österreichs"" (HPÖ) 18.01.2006"
489,Humanistische Partei,"Abkürzung ""HP""",09.11.1993,1993,"489 ""Humanistische Partei"", Abkürzung ""HP"" 09.11.1993"
490,ICH WÄHLE NICHT,,05.05.2008,2008,"490 ""ICH WÄHLE NICHT"" 05.05.2008"
491,impuls-tirol,,09.02.2015,2015,"491 ""impuls-tirol"" 09.02.2015"
492,IndianerInnenpartei mit Hausverstand Österreichs,"kurz ""IÖ""",10.11.2012,2012,"492 ""IndianerInnenpartei mit Hausverstand Österreichs"", kurz ""IÖ"" 10.11.2012"
493,INITIATIVE 2000,,29.09.2006,2006,"493 ""INITIATIVE 2000"" 29.09.2006"
494,Initiative für eine revolutionäre Organisation,,02.05.2001,2001,"494 ""Initiative für eine revolutionäre Organisation"" 02.05.2001"
495,INITIATIVE FÜR GAADENER LEBENSQUALITÄT (IGL),,17.12.1991,1991,"495 ""INITIATIVE FÜR GAADENER LEBENSQUALITÄT (IGL)"" 17.12.1991"
496,Initiative für mehr direkte Demokratie,,08.02.2002,2002,"496 ""Initiative für mehr direkte Demokratie"" 08.02.2002"
497,Initiative für Öffentlichkeit und Kommunikation,"Abkürzung ""IfÖK""",13.10.1989,1989,"497 ""Initiative für Öffentlichkeit und Kommunikation"", Abkürzung ""IfÖK"" 13.10.1989"
498,Initiative Haschisch Legal,,05.04.1982,1982,"498 ""Initiative Haschisch Legal"" 05.04.1982"
499,Initiative Heimat und Umwelt,"abgekürzt ""IHU""",12.06.1990,1990,"499 ""Initiative Heimat und Umwelt"", abgekürzt ""IHU"" 12.06.1990"
500,Initiative Lebenswertes Seekirchen,"Kurzbezeichnung ""LeSe""",12.12.1994,1994,"500 ""Initiative Lebenswertes Seekirchen"", Kurzbezeichnung ""LeSe"" 12.12.1994"
501,Initiative Neue Linke,"Kurzbezeichnung ""Neue Linke"" abgekürzt ""INL"" und ""NL""",11.11.1987,1987,"501 ""Initiative Neue Linke"", Kurzbezeichnung ""Neue Linke"", abgekürzt ""INL"" und ""NL"" 11.11.1987"
502,Initiative Ökologischer Demokraten,"kurz ""IÖD""",22.08.1997,1997,"502 ""Initiative Ökologischer Demokraten"", kurz ""IÖD"" 22.08.1997"
503,Initiative Österreichischer Atomkraftwerksgegner,"(kurz ""IÖAG"")",05.04.1978,1978,"503 ""Initiative Österreichischer Atomkraftwerksgegner"" (kurz ""IÖAG"") 05.04.1978"
