ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
628,NICHTWÄHLER,,19.12.2014,2014,"628 ""NICHTWÄHLER"" 19.12.2014"
629,Notwehrgemeinschaft,,07.07.2003,2003,"629 ""Notwehrgemeinschaft"" 07.07.2003"
630,NPÖ Nationaldemokratische Partei Österreichs,,08.04.2002,2002,"630 ""NPÖ Nationaldemokratische Partei Österreichs"" 08.04.2002"
631,ÖBP,Österreichische Bürger Partei,07.02.2012,2012,"631 ""ÖBP"" Österreichische Bürger Partei 07.02.2012"
632,ÖBWP Österreichische Bürger und Wirtschaftspartei,,11.08.2004,2004,"632 ""ÖBWP Österreichische Bürger und Wirtschaftspartei"" 11.08.2004"
633,ÖEP - Österreichische Ethikpartei,,04.08.2009,2009,"633 ""ÖEP - Österreichische Ethikpartei"" 04.08.2009"
634,Offene Bürgerliste Dornbirn,,21.01.1993,1993,"634 ""Offene Bürgerliste Dornbirn"" 21.01.1993"
635,ÖKO-Liberale Partei (ÖLP),,30.06.1986,1986,"635 ""ÖKO-Liberale Partei (ÖLP)"" 30.06.1986"
636,Ökologisch-Demokratische Partei,"Abkürzung ""ÖDP""",25.08.1992,1992,"636 ""Ökologisch-Demokratische Partei"", Abkürzung ""ÖDP"" 25.08.1992"
637,Ökologische Informationen (ÖI),,11.12.1991,1991,"637 ""Ökologische Informationen (ÖI)"" 11.12.1991"
638,Ökologische Linke,(ÖKOLI),01.12.1998,1998,"638 ""Ökologische Linke"" (ÖKOLI) 01.12.1998"
639,Organisation freier Staatsbürger Österreich,"Abkürzung ""OFÖST""",30.05.1983,1983,"639 ""Organisation freier Staatsbürger Österreich"", Abkürzung ""OFÖST"" 30.05.1983"
640,Organisation für Atheismus und Aufklärung,"kurz ""OAA""",04.01.1990,1990,"640 ""Organisation für Atheismus und Aufklärung"", kurz ""OAA"" 04.01.1990"
641,"Österreich 2000, Partei für Freiheit, Brüderlichkeit und Toleranz",,30.01.1990,1990,"641 ""Österreich 2000, Partei für Freiheit, Brüderlichkeit und Toleranz"" 30.01.1990"
642,ÖSTERREICH SOUVERÄN und FREI,(ÖSF),30.09.2005,2005,"642 ""ÖSTERREICH SOUVERÄN und FREI"" (ÖSF) 30.09.2005"
643,Österreich-Club,,27.03.1997,1997,"643 ""Österreich-Club"" 27.03.1997"
644,Österreichische aktive Partei,"Abkürzung ""Ö.A.P.""",20.09.1996,1996,"644 ""Österreichische aktive Partei"", Abkürzung ""Ö.A.P."" 20.09.1996"
645,ÖSTERREICHISCHE ALLGEMEINE PARTEI,"Abkürzung ""ÖAP""",10.08.1982,1982,"645 ""ÖSTERREICHISCHE ALLGEMEINE PARTEI"", Abkürzung ""ÖAP"" 10.08.1982"
646,Österreichische Arbeiterpartei,,12.07.1988,1988,"646 ""Österreichische Arbeiterpartei"" 12.07.1988"
647,Österreichische Autofahrer- und Bürgerinteressen-Partei (ÖABP) Landesorganisation Steiermark,,06.02.1992,1992,"647 ""Österreichische Autofahrer- und Bürgerinteressen-Partei (ÖABP) Landesorganisation Steiermark"" 06.02.1992"
648,"Österreichische Autofahrer- und Bürgerinteressen-Partei (ÖABP), Landesorganisation für Wien, Niederösterreich und Burgenland",,12.01.1993,1993,"648 ""Österreichische Autofahrer- und Bürgerinteressen-Partei (ÖABP), Landesorganisation für Wien, Niederösterreich und Burgenland"" 12.01.1993"
649,Österreichische Autofahrer- und Bürgerinteressenspartei (ÖABP) - Landesorganisation Tirol,,05.05.1993,1993,"649 ""Österreichische Autofahrer- und Bürgerinteressenspartei (ÖABP) - Landesorganisation Tirol"" 05.05.1993"
650,Österreichische Autofahrer- und Bürgerinteressens-Partei,(ÖABP),05.11.1991,1991,"650 ""Österreichische Autofahrer- und Bürgerinteressens-Partei"" (ÖABP) 05.11.1991"
651,Österreichische Autofahrer- und Bürgerinteressens-Partei,(ÖABP) - Landespartei Oberösterreich,23.06.1993,1993,"651 ""Österreichische Autofahrer- und Bürgerinteressens-Partei"" (ÖABP) - Landespartei Oberösterreich 23.06.1993"
652,Österreichische Autofahrer- und Bürgerinteressens-Partei,(ÖABP) - Landespartei Salzburg,27.10.1992,1992,"652 ""Österreichische Autofahrer- und Bürgerinteressens-Partei"" (ÖABP) - Landespartei Salzburg 27.10.1992"
653,Österreichische Befehlsverweigerer Partei & Befehlsverweigerer Partei Österreichs,ÖBP&BPÖ,27.03.2006,2006,"653 ""Österreichische Befehlsverweigerer Partei & Befehlsverweigerer Partei Österreichs"" ÖBP&BPÖ 27.03.2006"
654,Österreichische Bürger Partei (ÖBP),,30.12.2004,2004,"654 ""Österreichische Bürger Partei (ÖBP)"" 30.12.2004"
655,Österreichische Bürger und Bewohnerinitiativen WOHNE,"Kurzbezeichnung ""WOHNE""",11.05.2015,2015,"655 ""Österreichische Bürger und Bewohnerinitiativen WOHNE"", Kurzbezeichnung ""WOHNE"" 11.05.2015"
656,Österreichische Bürgerbewegung,,28.07.2008,2008,"656 ""Österreichische Bürgerbewegung"" 28.07.2008"
657,Österreichische Bürgerinitiative,"Kurzbezeichnung ""ÖBI""",05.02.1987,1987,"657 ""Österreichische Bürgerinitiative"", Kurzbezeichnung ""ÖBI"" 05.02.1987"
658,Österreichische Bürgerpartei Ö.B.P.,,14.11.1995,1995,"658 ""Österreichische Bürgerpartei Ö.B.P."" 14.11.1995"
659,Österreichische Bürgerpartei,,29.06.1990,1990,"659 ""Österreichische Bürgerpartei"" 29.06.1990"
660,ÖSTERREICHISCHE BÜRGERPARTEI,"abgekürzt ""ÖBP""",12.11.1982,1982,"660 ""ÖSTERREICHISCHE BÜRGERPARTEI"", abgekürzt ""ÖBP"" 12.11.1982"
661,ÖSTERREICHISCHE DEMOKRATISCHE PROPORTION,"Kurzbezeichnung ""ÖDP""",22.12.1993,1993,"661 ""ÖSTERREICHISCHE DEMOKRATISCHE PROPORTION"", Kurzbezeichnung ""ÖDP"" 22.12.1993"
662,Österreichische Freiheitspartei,(ÖFP),14.10.1983,1983,"662 ""Österreichische Freiheitspartei"" (ÖFP) 14.10.1983"
663,ÖSTERREICHISCHE FRIEDENSPARTEI (ÖFPA),,20.11.1985,1985,"663 ""ÖSTERREICHISCHE FRIEDENSPARTEI (ÖFPA)"" 20.11.1985"
664,Österreichische Gerechtigkeitspartei,"kurz ""ÖGP""",11.08.1980,1980,"664 ""Österreichische Gerechtigkeitspartei"", kurz ""ÖGP"" 11.08.1980"
665,ÖSTERREICHISCHE GESELLSCHAFT FÜR INTERMEDIALE ZUSAMMENARBEIT,"Kurzbezeichnung ""INTERMEDIA""",24.02.1987,1987,"665 ""ÖSTERREICHISCHE GESELLSCHAFT FÜR INTERMEDIALE ZUSAMMENARBEIT"", Kurzbezeichnung ""INTERMEDIA"" 24.02.1987"
666,Österreichische Gesellschaft für Konsumenteninformation,"Kurzbezeichnung ""ÖGK""",22.02.1989,1989,"666 ""Österreichische Gesellschaft für Konsumenteninformation"", Kurzbezeichnung ""ÖGK"" 22.02.1989"
667,Österreichische Gesellschaft für menschliches Recht (ÖGmR),,22.08.1983,1983,"667 ""Österreichische Gesellschaft für menschliches Recht (ÖGmR)"" 22.08.1983"
668,Österreichische Gesellschaft für Nahrungsinformation,"Kurzbezeichnung ""ÖGN""",24.02.1987,1987,"668 ""Österreichische Gesellschaft für Nahrungsinformation"", Kurzbezeichnung ""ÖGN"" 24.02.1987"
669,Österreichische Gesellschaft für Verbraucherinformation und Konsumentenschutz,"Kurzbezeichnung ""ÖGV""",21.08.1989,1989,"669 ""Österreichische Gesellschaft für Verbraucherinformation und Konsumentenschutz"", Kurzbezeichnung ""ÖGV"" 21.08.1989"
670,ÖSTERREICHISCHE GESELLSCHAFT FÜR VERBRAUCHERINFORMATION,"Kurzbezeichnung ""ÖGV""",17.03.1987,1987,"670 ""ÖSTERREICHISCHE GESELLSCHAFT FÜR VERBRAUCHERINFORMATION"", Kurzbezeichnung ""ÖGV"" 17.03.1987"
671,Österreichische Gesellschaft zur Altstadterhaltung,"Kurzbezeichnung ""ÖGA""",21.08.1989,1989,"671 ""Österreichische Gesellschaft zur Altstadterhaltung"", Kurzbezeichnung ""ÖGA"" 21.08.1989"
672,Österreichische Hanf Partei (ÖHP),,13.11.2013,2013,"672 ""Österreichische Hanf Partei (ÖHP)"" 13.11.2013"
673,ÖSTERREICHISCHE HOCHSCHULPARTEI (ÖHP),,23.05.1986,1986,"673 ""ÖSTERREICHISCHE HOCHSCHULPARTEI (ÖHP)"" 23.05.1986"
674,Österreichische House Partei,ÖHoP,27.03.2003,2003,"674 ""Österreichische House Partei"" ÖHoP 27.03.2003"
675,Österreichische humanistische Partei (ÖHP),,13.03.1981,1981,"675 ""Österreichische humanistische Partei (ÖHP)"" 13.03.1981"
676,Österreichische Individualisten-Partei,"""ÖIP""",04.04.2015,2015,"676 ""Österreichische Individualisten-Partei"", ""ÖIP"" 04.04.2015"
677,Österreichische Initiative für Umwelt und Kultur (ÖIUK),,10.08.1995,1995,"677 ""Österreichische Initiative für Umwelt und Kultur (ÖIUK)"" 10.08.1995"
678,Österreichische Integrationspartei,,12.09.2000,2000,"678 ""Österreichische Integrationspartei"" 12.09.2000"
679,Österreichische Kirchtagspartei,"Kurzbezeichnung ""ÖKiP""",16.07.2014,2014,"679 ""Österreichische Kirchtagspartei"", Kurzbezeichnung ""ÖKiP"" 16.07.2014"
680,"ÖSTERREICHISCHE KONSERVATIVE UNION, ÖKU",,07.11.1985,1985,"680 ""ÖSTERREICHISCHE KONSERVATIVE UNION, ÖKU"" 07.11.1985"
681,Österreichische MigrantInnenpartei,"Kurzbezeichnung ""ÖMP""",26.03.2007,2007,"681 ""Österreichische MigrantInnenpartei"", Kurzbezeichnung ""ÖMP"" 26.03.2007"
682,Österreichische Mittelstandspartei,"kurz ""OMP""",04.12.1978,1978,"682 ""Österreichische Mittelstandspartei"", kurz ""OMP"" 04.12.1978"
683,Österreichische Naturgesetz-Partei (ÖNP),,07.07.1994,1994,"683 ""Österreichische Naturgesetz-Partei (ÖNP)"" 07.07.1994"
684,Österreichische Neutralitätspartei ÖNP,,22.08.1988,1988,"684 ""Österreichische Neutralitätspartei ÖNP"" 22.08.1988"
685,Österreichische Partei für das Leben (ÖPL),,18.05.1999,1999,"685 ""Österreichische Partei für das Leben (ÖPL)"" 18.05.1999"
686,Österreichische Partei tatkräftiger umsichtiger toleranter ehrlicher Staatsbürger (ÖPTUTES),,13.11.1995,1995,"686 ""Österreichische Partei tatkräftiger umsichtiger toleranter ehrlicher Staatsbürger (ÖPTUTES)"" 13.11.1995"
687,Österreichische Protestpartei,"kurz ""PP""",12.10.1982,1982,"687 ""Österreichische Protestpartei"", kurz ""PP"" 12.10.1982"
688,Österreichische Tierfreundebewegung,,04.04.1997,1997,"688 ""Österreichische Tierfreundebewegung"" 04.04.1997"
689,Österreichische Unabhängigkeitspartei,(UP),29.06.2004,2004,"689 ""Österreichische Unabhängigkeitspartei"" (UP) 29.06.2004"
690,Österreichische und Europäische Tierrechtspartei und Tierschutzpartei Mensch-Umwelt-Tierschutz - Ökologisch Soziale Europa Partei,"die Kurzbezeichnung des Parteinamens lautet ""Österreichische und Europäische Tierrechtspartei"" ""Österreichische und Europäische Tierschutzpartei"" ""Österreichische Tierrechtspartei"" ""Österreichische Tierschutzpartei"" ""Europäische Tierrechtspartei"" ""Europäische Tierschutzpartei"" ""Tierrechtspartei"" ""Tierschutzpartei"" ""Die Tierrechtspartei"" ""Die Tierschutzpartei"" ""Mensch-Umwelt-Tierschutz-Partei"" ""MUT-Partei"" ""Ökologisch Soziale Europa Partei"" ""Ökosoziale Europa Partei"" ""Ökologisch Soziale Europa Bewegung"" ""Ökosoziale Europa Bewegung"" ""Ökologisch Soziale Partei Österreich"" ""Ökosoziale Partei Österreich"" abgekürzt ""Tier"" ""Tiere"" ""Tierr"" ""Tierre"" ""Tierrecht"" ""Tierechte"" ""Tierpartei"" ""Öko"" ""Ökoso"" ""Ökosoz"" ""Ökosozial"" akronymisch ""ÖTRP"" ""ÖTSP"" ""ETRP"" ""ETSP"" ""TRP"" ""TSP"" ""MUT"" ""ÖSEP"" ""ÖKSEP"" sowie ""ÖKOSEP""",18.01.2007,2007,"690 ""Österreichische und Europäische Tierrechtspartei und Tierschutzpartei Mensch-Umwelt-Tierschutz - Ökologisch Soziale Europa Partei"", die Kurzbezeichnung des Parteinamens lautet ""Österreichische und Europäische Tierrechtspartei"", ""Österreichische und Europäische Tierschutzpartei"", ""Österreichische Tierrechtspartei"", ""Österreichische Tierschutzpartei"", ""Europäische Tierrechtspartei"", ""Europäische Tierschutzpartei"", ""Tierrechtspartei"", ""Tierschutzpartei"", ""Die Tierrechtspartei"", ""Die Tierschutzpartei"", ""Mensch-Umwelt-Tierschutz-Partei"", ""MUT-Partei"", ""Ökologisch Soziale Europa Partei"", ""Ökosoziale Europa Partei"", ""Ökologisch Soziale Europa Bewegung"", ""Ökosoziale Europa Bewegung"", ""Ökologisch Soziale Partei Österreich"", ""Ökosoziale Partei Österreich"", abgekürzt ""Tier"", ""Tiere"", ""Tierr"", ""Tierre"", ""Tierrecht"", ""Tierechte"", ""Tierpartei"", ""Öko"", ""Ökoso"", ""Ökosoz"", ""Ökosozial"", akronymisch ""ÖTRP"", ""ÖTSP"", ""ETRP"", ""ETSP"", ""TRP"", ""TSP"", ""MUT"", ""ÖSEP"", ""ÖKSEP"", sowie ""ÖKOSEP"" 18.01.2007"
691,Österreichische Unruhestifterpartei,(Ö.U.),14.10.1983,1983,"691 ""Österreichische Unruhestifterpartei"" (Ö.U.) 14.10.1983"
692,Österreichische Verkehrsteilnehmer - Partei,"mit dem Untertitel ""Autonome Partei für Österreich""",19.04.1993,1993,"692 ""Österreichische Verkehrsteilnehmer - Partei"" mit dem Untertitel ""Autonome Partei für Österreich"" 19.04.1993"
693,Österreichische Volkspartei,(ÖVP),14.11.1975,1975,"693 ""Österreichische Volkspartei"" (ÖVP) 14.11.1975"
694,Österreichische Volksstimme,,08.09.2009,2009,"694 ""Österreichische Volksstimme"" 08.09.2009"
695,ÖSTERREICHISCHE VOLKSUNION,,21.01.1986,1986,"695 ""ÖSTERREICHISCHE VOLKSUNION"" 21.01.1986"
696,Österreichische Widerstandsbewegung,(ÖWB),14.10.1983,1983,"696 ""Österreichische Widerstandsbewegung"" (ÖWB) 14.10.1983"
697,Österreichische Zukunftspartei (ÖZP),,23.12.2003,2003,"697 ""Österreichische Zukunftspartei (ÖZP)"" 23.12.2003"
698,Österreichische-Gerechtigkeits-Partei (ÖGP),,20.05.1999,1999,"698 ""Österreichische-Gerechtigkeits-Partei (ÖGP)"" 20.05.1999"
699,Österreichische-Partei-für-alle-Nichtwähler,,10.11.1978,1978,"699 ""Österreichische-Partei-für-alle-Nichtwähler"" 10.11.1978"
700,ÖSTERREICHISCHER HEIMATBUND (ÖHB),,26.04.1983,1983,"700 ""ÖSTERREICHISCHER HEIMATBUND (ÖHB)"" 26.04.1983"
701,Österreichischer Heimatdienst - ÖHD,,02.06.1981,1981,"701 ""Österreichischer Heimatdienst - ÖHD"" 02.06.1981"
702,Österreichischer Seniorenbund (ÖSB),,17.10.1977,1977,"702 ""Österreichischer Seniorenbund (ÖSB)"" 17.10.1977"
703,ÖSTERREICHISCHES AGRARUMWELTFORUM,,12.03.2004,2004,"703 ""ÖSTERREICHISCHES AGRARUMWELTFORUM"" 12.03.2004"
704,Österreichisches Bürgerrechts-Service (ÖBS),,10.07.1996,1996,"704 ""Österreichisches Bürgerrechts-Service (ÖBS)"" 10.07.1996"
705,ÖSTERREICHISCHES WIRTSCHAFTSFORUM,,19.12.1997,1997,"705 ""ÖSTERREICHISCHES WIRTSCHAFTSFORUM"" 19.12.1997"
706,Österreichisches Zukunfts Volk,"gekürzt ""ÖZV""",03.11.2014,2014,"706 ""Österreichisches Zukunfts Volk"", gekürzt ""ÖZV"" 03.11.2014"
707,ÖSTERREICHPARTEI DE MONTE DMO,,24.04.1993,1993,"707 ""ÖSTERREICHPARTEI DE MONTE DMO"" 24.04.1993"
708,ÖSTERREICH-PARTEI,,14.01.2013,2013,"708 ""ÖSTERREICH-PARTEI"" 14.01.2013"
709,Österreich-Partei,"kurz ""OP""",14.12.1982,1982,"709 ""Österreich-Partei"", kurz ""OP"" 14.12.1982"
710,ÖSTERREICHS ALTERNATIVE LISTE,"Kurzbezeichnung ""ÖAL""",08.11.1982,1982,"710 ""ÖSTERREICHS ALTERNATIVE LISTE"", Kurzbezeichnung ""ÖAL"" 08.11.1982"
711,Österreichs Bürgerbewegung,,28.07.2008,2008,"711 ""Österreichs Bürgerbewegung"" 28.07.2008"
712,ÖSTERREICHS GRÜNE (GRÜNE),,26.11.1984,1984,"712 ""ÖSTERREICHS GRÜNE (GRÜNE)"" 26.11.1984"
713,ÖSTERREICHS LIBERALE,,18.07.1990,1990,"713 ""ÖSTERREICHS LIBERALE"" 18.07.1990"
714,padema partei der marken,,16.04.2010,2010,"714 ""padema partei der marken"" 16.04.2010"
715,Pan-Sozialistische Union (PSU),,31.01.1994,1994,"715 ""Pan-Sozialistische Union (PSU)"" 31.01.1994"
716,Partei 2.0,,30.01.2012,2012,"716 ""Partei 2.0"" 30.01.2012"
717,PARTEI AUFRECHTER ÖSTERREICHER (PAÖ),,07.03.2005,2005,"717 ""PARTEI AUFRECHTER ÖSTERREICHER (PAÖ)"" 07.03.2005"
718,Partei demokratischer Sozialisten,"Abkürzung ""PDS""",30.09.1992,1992,"718 ""Partei demokratischer Sozialisten"", Abkürzung ""PDS"" 30.09.1992"
719,Partei der Arbeit Österreichs (PdA),,12.02.2013,2013,"719 ""Partei der Arbeit Österreichs (PdA)"" 12.02.2013"
720,Partei der ASVG-Versicherten,,02.04.1990,1990,"720 ""Partei der ASVG-Versicherten"" 02.04.1990"
721,PARTEI DER FAULEN UND FEIGEN,"abgekürzt ""PFF""",21.07.1987,1987,"721 ""PARTEI DER FAULEN UND FEIGEN"", abgekürzt ""PFF"" 21.07.1987"
722,Partei der Freiheit (PDF),,07.12.2011,2011,"722 ""Partei der Freiheit (PDF)"" 07.12.2011"
723,Partei der Hundefreunde Österreichs,,08.08.2000,2000,"723 ""Partei der Hundefreunde Österreichs"" 08.08.2000"
724,Partei der Nichtwähler,(PDN),23.02.1979,1979,"724 ""Partei der Nichtwähler"" (PDN) 23.02.1979"
725,Partei der Nichtwähler,(PDN),24.09.1980,1980,"725 ""Partei der Nichtwähler"" (PDN) 24.09.1980"
726,Partei der Outsider,"kurz ""PDO""",20.09.1990,1990,"726 ""Partei der Outsider"", kurz ""PDO"" 20.09.1990"
727,PARTEI DER REPUBLIKANER,(REP),12.10.1989,1989,"727 ""PARTEI DER REPUBLIKANER"" (REP) 12.10.1989"
728,Partei der Sozialversicherten Österreichs,,26.09.1989,1989,"728 ""Partei der Sozialversicherten Österreichs"" 26.09.1989"
729,Partei des angemessenen Fortschritts in maßvollen Grenzen,,18.12.2003,2003,"729 ""Partei des angemessenen Fortschritts in maßvollen Grenzen"" 18.12.2003"
730,Partei des Volkes,,27.06.2008,2008,"730 ""Partei des Volkes"" 27.06.2008"
731,Partei Freier Demokraten,"kurz ""PFD""",30.04.2003,2003,"731 ""Partei Freier Demokraten"", kurz ""PFD"" 30.04.2003"
732,Partei freies Österreich,,14.01.2008,2008,"732 ""Partei freies Österreich"" 14.01.2008"
733,"Partei für Alpinismus, Realpolitik, Transparenz und Erfolg in Österreich","Kurzbezeichnung ""Die Partei"" Abkürzung ""PARTEI""",04.09.2012,2012,"733 ""Partei für Alpinismus, Realpolitik, Transparenz und Erfolg in Österreich"", Kurzbezeichnung ""Die Partei"", Abkürzung ""PARTEI"" 04.09.2012"
734,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative","Kurzbezeichnung ""Die PARTEI""",24.06.2009,2009,"734 ""Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"", Kurzbezeichnung ""Die PARTEI"" 24.06.2009"
735,"Partei für Bildung, Information, Kultur und Lebensqualität","Kurzbezeichnung ""BIKUL""",08.09.1997,1997,"735 ""Partei für Bildung, Information, Kultur und Lebensqualität"", Kurzbezeichnung ""BIKUL"" 08.09.1997"
736,Partei für demokratischen und sozialen Fortschritt,,22.02.2012,2012,"736 ""Partei für demokratischen und sozialen Fortschritt"" 22.02.2012"
737,Partei für den gemäßigten Fortschritt in den Grenzen des Gesetzes,(P.f.d.g.F.i.d.G.d.G.),14.10.1983,1983,"737 ""Partei für den gemäßigten Fortschritt in den Grenzen des Gesetzes"" (P.f.d.g.F.i.d.G.d.G.) 14.10.1983"
738,Partei für den Libertären Kommunismus,(PfdLK),26.04.1990,1990,"738 ""Partei für den Libertären Kommunismus"" (PfdLK) 26.04.1990"
739,Partei für deutsche Sprache und Kultur,"(Kurzform ""Deutsche Sprache und Kultur"")",26.04.2001,2001,"739 ""Partei für deutsche Sprache und Kultur"" (Kurzform ""Deutsche Sprache und Kultur"") 26.04.2001"
740,Partei für die Autonomie des Individuums,,23.01.1987,1987,"740 ""Partei für die Autonomie des Individuums"" 23.01.1987"
741,Partei für ganzheitliche Lebensauffassung - PGL,,04.01.1988,1988,"741 ""Partei für ganzheitliche Lebensauffassung - PGL"" 04.01.1988"
742,PARTEI für JUGEND UND VOLK,(J + V) (NEUE JUGENDEBWEGUNG - SOZIALPOLITISCHE VOLKSPARTEI),19.06.1979,1979,"742 ""PARTEI für JUGEND UND VOLK"" (J + V) (NEUE JUGENDEBWEGUNG - SOZIALPOLITISCHE VOLKSPARTEI) 19.06.1979"
743,Partei für Kultur und Kritik,,02.05.1989,1989,"743 ""Partei für Kultur und Kritik"" 02.05.1989"
744,Partei für maßvollen Fortschritt im Rahmen der Gesetze,"Abkürzung ""PFG""",15.07.1994,1994,"744 ""Partei für maßvollen Fortschritt im Rahmen der Gesetze"", Abkürzung ""PFG"" 15.07.1994"
745,Partei für Österreich,,04.09.2012,2012,"745 ""Partei für Österreich"" 04.09.2012"
746,Partei für Österreich,"kurz ""PFÖ""",14.12.1982,1982,"746 ""Partei für Österreich"", kurz ""PFÖ"" 14.12.1982"
747,"Partei für Qualität, Information und Kultur","Kurzbezeichnung ""QIK""",18.01.1995,1995,"747 ""Partei für Qualität, Information und Kultur"", Kurzbezeichnung ""QIK"" 18.01.1995"
748,Partei für Recht und Ordnung - PRO,,29.09.1981,1981,"748 ""Partei für Recht und Ordnung - PRO"" 29.09.1981"
749,Partei für Rechtssicherheit und Bürgernähe (RPÖ),,06.12.2000,2000,"749 ""Partei für Rechtssicherheit und Bürgernähe (RPÖ)"" 06.12.2000"
750,Partei für sexuelle Ausschweifungen,(P.S.A.),14.10.1983,1983,"750 ""Partei für sexuelle Ausschweifungen"" (P.S.A.) 14.10.1983"
751,Partei für soziale Gerechtigkeit,,06.04.2009,2009,"751 ""Partei für soziale Gerechtigkeit"" 06.04.2009"
752,"Partei für Umwelt, Mensch und Arbeit","mit dem Kürzel ""PUMA""",10.05.2010,2010,"752 ""Partei für Umwelt, Mensch und Arbeit"", mit dem Kürzel ""PUMA"" 10.05.2010"
753,Partei für Umweltschutz und Menschlichkeit,"(kurz ""PUM"")",11.01.1982,1982,"753 ""Partei für Umweltschutz und Menschlichkeit"" (kurz ""PUM"") 11.01.1982"
754,Partei für Umweltschutz und Menschlichkeit,"(kurz ""PUM"")",28.02.1984,1984,"754 ""Partei für Umweltschutz und Menschlichkeit"" (kurz ""PUM"") 28.02.1984"
755,PARTEI für VOLK und JUGEND (V + J),-VOLKSPARTEI und JUGENDBEWEGUNG-,21.05.1982,1982,"755 ""PARTEI für VOLK und JUGEND (V + J)"" -VOLKSPARTEI und JUGENDBEWEGUNG- 21.05.1982"
756,Partei für Wirtschafts- und Umweltinformation,,17.02.1993,1993,"756 ""Partei für Wirtschafts- und Umweltinformation"" 17.02.1993"
757,Partei gegen Rassismus,,04.12.2006,2006,"757 ""Partei gegen Rassismus"" 04.12.2006"
758,Partei gegen rassistische Diskriminierung,,29.01.2007,2007,"758 ""Partei gegen rassistische Diskriminierung"" 29.01.2007"
759,Partei glücklicher Österreicher,,08.01.1998,1998,"759 ""Partei glücklicher Österreicher"" 08.01.1998"
760,Partei Neue Ordnung (PNO),,06.04.1995,1995,"760 ""Partei Neue Ordnung (PNO)"" 06.04.1995"
761,Partei Neues Österreich,(PNÖ),06.11.1981,1981,"761 ""Partei Neues Österreich"" (PNÖ) 06.11.1981"
762,Partei Österreich neu,,27.04.2012,2012,"762 ""Partei Österreich neu"" 27.04.2012"
763,Partei Österreichischer Arbeitssuchender PÖA,,26.09.2000,2000,"763 ""Partei Österreichischer Arbeitssuchender PÖA"" 26.09.2000"
764,Partei Österreichischer Patrioten (PÖP),,24.03.2011,2011,"764 ""Partei Österreichischer Patrioten (PÖP)"" 24.03.2011"
765,"Partei von, für und Mit-Menschen",,23.12.1997,1997,"765 ""Partei von, für und Mit-Menschen"" 23.12.1997"
766,Partei zur Förderung der Gesellschaft und Information im lokalen Raum,,12.09.1985,1985,"766 ""Partei zur Förderung der Gesellschaft und Information im lokalen Raum"" 12.09.1985"
767,"Partei zur Förderung der sozialen, lokalen, kulturellen und sportlichen Information in Wattens und Umgebung",,12.03.1986,1986,"767 ""Partei zur Förderung der sozialen, lokalen, kulturellen und sportlichen Information in Wattens und Umgebung"" 12.03.1986"
768,Partei zur Förderung des Kultur- und Gesellschaftslebens,,29.08.1983,1983,"768 ""Partei zur Förderung des Kultur- und Gesellschaftslebens"" 29.08.1983"
769,PARTEI ZUR FÖRDERUNG VON STADTTEILZENTREN,,18.09.1989,1989,"769 ""PARTEI ZUR FÖRDERUNG VON STADTTEILZENTREN"" 18.09.1989"
770,Partei zur Information von Hall und Umgebung und zur Förderung sportlicher kultureller und sozialer Kontakte,,10.10.1985,1985,"770 ""Partei zur Information von Hall und Umgebung und zur Förderung sportlicher kultureller und sozialer Kontakte"" 10.10.1985"
771,PARTEI ZUR REVITALISIERUNG ÖSTERREICHISCHER KULTURGÜTER,,06.12.1979,1979,"771 ""PARTEI ZUR REVITALISIERUNG ÖSTERREICHISCHER KULTURGÜTER"" 06.12.1979"
772,parteifrei,,25.07.2005,2005,"772 ""parteifrei"" 25.07.2005"
773,PATRIOTISCHE BEWEGUNG,(P),08.07.1987,1987,"773 ""PATRIOTISCHE BEWEGUNG"" (P) 08.07.1987"
774,Patriotische Europäer gegen die Islamisierung des Abendlandes,"kurz ""PEGIDA""",26.03.2015,2015,"774 ""Patriotische Europäer gegen die Islamisierung des Abendlandes"", kurz ""PEGIDA"" 26.03.2015"
775,Patriotische Partei Österreichs,(PPÖ),10.02.1978,1978,"775 ""Patriotische Partei Österreichs"" (PPÖ) 10.02.1978"
776,Patriotische Sozialisten Europas,(PSE),09.11.2001,2001,"776 ""Patriotische Sozialisten Europas"" (PSE) 09.11.2001"
777,Pharmazeutische Studenteninitiative,,17.10.1990,1990,"777 ""Pharmazeutische Studenteninitiative"" 17.10.1990"
778,PHÖ - Partei Heimatverbundener Österreicher,,11.10.2007,2007,"778 ""PHÖ - Partei Heimatverbundener Österreicher"" 11.10.2007"
779,Piraten Partei Tirol,"Kurzbezeichnung ""PPT""",08.02.2012,2012,"779 ""Piraten Partei Tirol"", Kurzbezeichnung ""PPT"" 08.02.2012"
780,Piraten Seekirchen,,19.04.2012,2012,"780 ""Piraten Seekirchen"" 19.04.2012"
