Jahr,Förderung,Medium/Projekt/Fördernehmer,Verleger & Adresse,Förderbetrag
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Land,Neues Land Medien GesmbH Reitschulgasse 3 8010 Graz,"79414,3"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3 1020 Wien,"47648,6"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"63531,5"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NOVICE,Slomedia GmbH Tarviser Straße 16 9020 Klagenfurt,27250
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Österreichische BauernZeitung,Agrar Media Verlagsgesellschaft mbH. Schauflergasse 6 1010 Wien,"79414,3"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Osttiroler Bote,Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26 9900 Lienz,"8550,2"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Profil,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3 1020 Wien,"64777,2"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Raiffeisenzeitung,Raiffeisen Media GmbH Friedrich-Wilhelm-Raiffeisenplatz 1 1020 Wien,"71628,6"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Rupertusblatt - Kirchenzeitung der Erzdiözese Salzburg,Ordinariat der Erzdiözese Salzburg Kapitelplatz 2 5020 Salzburg,"69487,5"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Woche,Salzburger Woche Verlags GesmbH Ing. Ludwig-Pech-Str. 1 5600 St. Johann im Pongau,"79414,3"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Sonntag,Wiener Domverlag Ges.m.b.H. Stephansplatz 4/6/DG 1010 Wien,"69487,5"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Sonntag - Kärntner Kirchenzeitung,Seelsorgeamt der Diözese Gurk Tarviser Straße 30 9020 Klagenfurt,"45741,1"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sonntagsblatt für Steiermark,Bischöfliches Ordinariat - Diözese Graz- Seckau Bischofsplatz 4 8010 Graz,"79414,3"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sportwoche,Styria Multi Media Men GmbH & CoKG Geiselbergstraße 15 1110 Wien,"21838,9"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sportzeitung,Sportzeitung Verlags-GmbH Linke Wienzeile 40/22 1060 Wien,"21508,1"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Sonntag - Kirchenzeitung der Diözese Innsbruck,Diözese Innsbruck - Bischöfliches Ordinariat Riedgasse 9 6020 Innsbruck,"75443,6"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,tv media,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3 1020 Wien,"80971,5"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Unterkärntner Nachrichten,Unterkärntner Nachrichten Verlags GmbH Sporergasse 6 9400 Wolfsberg,"8550,2"
2013,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Zur Zeit - Die Wochenzeitung für Österreich,W 3 Verlagsges.m.b.H. Engelsberggasse 4 1030 Wien,45780
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neue Kärntner Tageszeitung,Kärntner Tageszeitung Ges.m.b.H. Karfreitstraße 24 9020 Klagenfurt,"821847,6"
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neue Vorarlberger Tageszeitung,NEUE Zeitungs GmbH Gutenbergstraße 1 6858 Schwarzach,"672289,8"
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neues Volksblatt,OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz,"695540,4"
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"948391,5"
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Der Standard,Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13 1030 Wien,"881259,5"
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,649612
2013,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,WirtschaftsBlatt,WirtschaftsBlatt Medien GmbH Hainburger Straße 33 1030 Wien,"573059,2"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"129101,6"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Kärntner Tageszeitung,Kärntner Tageszeitung Ges.m.b.H. Karfreitstraße 24 9020 Klagenfurt,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Vorarlberger Tageszeitung,NEUE Zeitungs GmbH Gutenbergstraße 1 6858 Schwarzach,"129101,6"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Volksblatt,OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,OÖ Nachrichten,OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"129101,6"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Der Standard,Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13 1030 Wien,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH Brunecker Straße 3 6020 Innsbruck,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Vorarlberger Nachrichten,Russmedia Verlag GmbH Gutenbergstraße 1 6858 Schwarzach,"161376,9"
2013,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,WirtschaftsBlatt,WirtschaftsBlatt Medien GmbH Hainburgerstraße 33 1030 Wien,"96826,2"
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kärntner Tageszeitung,Kärntner Tageszeitungsges.m.b.H Karfreitstraße 24 9020 Klagenfurt,11396
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kurier,Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Vorarlberger Tageszeitung,Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach,3000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neues Volksblatt,OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Nachrichten,OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach",3500
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Falter,Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9 1010 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Salzburger Woche,Salzburger Woche Verlags GmbH Ing. Ludwig-Pech-Str. 1 5600 St. Johann im Pongau,20000
2012,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),tv media,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,fjum – forum für journalismus und medien,Karl-Farkas-Gasse 18 1030 Wien,4793
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Friedrich Austerlitz-Institut für JournalistInnenausbildung,Löwelstraße 18 1014 Wien,9715
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung",Tivoligasse 73 1120 Wien,29303
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,GESPU - Gesellschaft für Publizistik und Medienforschung,Alfred-Dallinger-Platz 1 1030 Wien,12614
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Katholische Medien Akademie,Schottengasse 3/7/39 1010 Wien,61425
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"M-MEDIA, Verein zur Förderung interkultureller Medienarbeit",Franz-Josefs-Kai 27/1 1010 Wien,5000
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Österreichische Medienakademie - Kuratorium für Journalistenausbildung,Karolingerstraße 40 5020 Salzburg,429975
2012,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,OÖ Journalistenakademie,Puchberg 1 4600 Wels,61425
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,40000
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kurier,Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,40000
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,40000
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,40000
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,40000
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,4188
2012,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),WirtschaftsBlatt,WirtschaftsBlatt Verlag AG Geiselbergstraße 15/1 1110 Wien,40000
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z1 PresseFG 2004",Verein Zeitung in der Schule (ZIS),Verein zur Förderung der Nutzung von Zeitungen in der Schule Wipplingerstraße 15 1010 Wien,219144
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kärntner Tageszeitung,Kärntner Tageszeitungsges.m.b.H Karfreitstraße 24 9020 Klagenfurt,458
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,10295
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kurier,Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,10036
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,10000
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Vorarlberger Tageszeitung,"Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach, Vorarlberg",380
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neues Volksblatt,OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz,1098
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",OÖ Nachrichten,OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz,10594
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,20000
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,12999
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,18357
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,913
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,13989
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach",8127
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",WirtschaftsBlatt,WirtschaftsBlatt Verlag AG Geiselbergstraße 15/1 1110 Wien,2587
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",BVZ - Burgenländische Volkszeitung,Burgenländische Volkszeitung GmbH Hauptstraße 52a 7000 Eisenstadt,319
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Falter,Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9 1010 Wien,1134
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Format,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,2045
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Furche,Die Furche ZeitschriftenbetriebsgesmbH & Co KG Lobkowitzplatz 1 1010 Wien,14497
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Hrvatske Novine,Kroatischer Presseverein Hotterweg 54 7000 Eisenstadt,798
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kirchenzeitung der Diözese Linz,Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz,610
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Murtaler Zeitung,Murtaler Zeitung GmbH Murtaler Platz 1 8750 Judenburg,32
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,4089
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,2062
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Osttiroler Bote,Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26 9900 Lienz,65
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Profil,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,6609
2012,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Tiroler Sonntag - Kirchenzeitung der Diözese Innsbruck,Diözese Innsbruck Bischöfliches Ordinariat Riedgasse 9 6020 Innsbruck,179
2012,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,"Newsroom revisited Neue Integrationsprozesse in Tageszeitungs-Newsrooms im internationalen Vergleich
  Neue Integrationsprozesse in Tageszeitungs-Newsrooms im internationalen Vergleich",Medienhaus Wien – Forschung und Weiterbildung GmbH Alser Straße 22/8 1090 Wien,20000
2012,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Klub der Wirtschaftspublizisten,Bauernmarkt 6/7 1010 Wien,3780
2012,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Oberösterreichischer Presseclub,Landeskulturzentrum Ursulinenhof Landstraße 31 4020 Linz,8505
2012,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Presseclub Concordia,Bankgasse 8,23625
2012,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Steirischer Presseclub,Bürgergasse 2 8010 Graz,"7087,5"
2012,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Agrarjournalisten und -publizisten in Österreich (VAÖ),Schauflergasse 6 1014 Wien,945
2012,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Auslandspresse Wien,Bartensteingasse 13/12 1010 Wien,"3307,5"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neue Kärntner Tageszeitung,Kärntner Tageszeitungsges.m.b.H. Karfreitstraße 24 9020 Klagenfurt,"795881,6"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neue Vorarlberger Tageszeitung,Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach,"675980,4"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neues Volksblatt,OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz,"695728,7"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"941085,4"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,"877359,2"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,"726717,4"
2012,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,WirtschaftsBlatt,WirtschaftsBlatt Verlag AG Hainburger Straße 33 1030 Wien,"574247,3"
2012,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Badener Zeitung,Verlag Rudolf M. Rohrer Wassergasse 1 2500 Baden,"8635,6"
2012,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,BVZ - Burgenländische Volkszeitung,Burgenländische Volkszeitung GmbH Hauptstraße 52a 7000 Eisenstadt,"48549,1"
2012,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Ennstaler,Wallig Ennstaler Druckerei und Verlag GmbH Mitterbergstraße 36 8962 Gröbming,"8635,6"
