Jahr,Förderung,Medium/Fördernehmer,Verleger,Förderbetrag
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kleine Zeitung Steiermark und Kärnten,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kurier,"Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","152.574,50"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Kronenzeitung,"Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Vorarlberger Tageszeitung,"NEUE Zeitungs GmbH Gutenbergstraße 1, 6858 Schwarzach","152.574,50"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3, 4010 Linz","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23, 4020 Linz","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Die Presse,"Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburgerstraße 33, 1030 Wien","152.574,50"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Nachrichten,"Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40, 5020 Salzburg","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Der Standard,"Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13, 1030 Wien","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Tageszeitung,"Schlüsselverlag J.S. Moser GmbH Brunecker Straße 3, 6020 Innsbruck","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Vorarlberger Nachrichten,"Russmedia Verlag GmbH Gutenbergstraße 1, 6858 Schwarzach","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,WirtschaftsBlatt,"WirtschaftsBlatt Medien GmbH Hainburgstraße 33, 1030 Wien","114.430,90"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Badener Zeitung,"Badener Zeitungsverlag GmbH Wassergasse 1, 2500 Baden","8.550,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,BVZ - Burgenländische Volkszeitung,"Burgenländische Volkszeitung GmbH Hauptstraße 52a, 7000 Eisenstadt","47.844,90"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Ennstaler,"Wallig Ennstaler Druckerei und Verlag GmbH Mitterbergstraße 36, 8962 Gröbming","8.550,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Falter,"Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9, 1010 Wien","81.638,10"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Format,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3, 1020 Wien","32.015,00"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Die Furche,"Die Furche ZeitschriftenbetriebsgesmbH & Co KG Lobkowitzplatz 1, 1010 Wien","72.033,60"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Die ganze Woche,"Die ganze Woche Ges.m.b.H. Heiligenstädter Straße 121, 1190 Wien","82.324,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,GLASNIK – Crikvene novine Zeljezanske biskupije,"Diözese Eisenstadt, Kroatische Sektion des Pastoralamtes St. Rochusstraße 21, 7000 Eisenstadt","6.779,60"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Hrvatske Novine,"Kroatischer Presseverein Hotterweg 54, 7000 Eisenstadt","9.685,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Ischler Woche,"TIPS Zeitungs GmbH & Co KG Promenade 23, 4020 Linz","8.550,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kirche bunt - St. Pöltner Kirchenzeitung,"Kirchenblatt für die Diözese St. Pölten Gutenbergstr. 12, 3100 St. Pölten","65.859,30"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,KirchenBlatt,"Diözese Feldkirch Bahnhofstraße 13, 6800 Feldkirch","55.367,00"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kirchenzeitung der Diözese Linz,"Kirchenzeitung der Diözese Linz Kapuzinerstraße 84, 4020 Linz","83.938,40"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kitzbüheler Anzeiger,"Kitzbüheler Anzeiger Ges.m.b.H. Im Gries 23, 6370 Kitzbühel","8.550,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kleine Kinderzeitung,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","10.805,00"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,martinus - Eisenstädter Kirchenzeitung,"Diözese Eisenstadt - Pastoralamt St. Rochusstraße 21, 7000 Eisenstadt","65.254,00"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Murtaler Zeitung,"Murtaler Zeitung GmbH Murtaler Platz 1, 8750 Judenburg","6.840,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Nedelja – Slowenische Kirchenzeitung der Diözese Gurk,"Bischöfliches Seelsorgeamt Viktringer Ring 26, 9020 Klagenfurt","15.291,80"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Freie Zeitung,"Freiheitliche Partei Österreichs (FPÖ) Friedrich Schmidt Platz 4/3A, 1080 Wien","39.346,10"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Land,"Neues Land Medien GesmbH Reitschulgasse 3, 8010 Graz","82.324,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NEWS,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3, 1020 Wien","48.426,00"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NÖN,"Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12, 3100 St. Pölten","83.938,40"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NOVICE,"Slomedia – Slowenisches Medienzentrum GmbH 8.-Mai-Straße 47/3, 9020 Klagenfurt","27.683,50"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Österreichische BauernZeitung,"Agrar Media Verlagsgesellschaft mbH Schauflergasse 6, 1010 Wien","82.324,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Osttiroler Bote,"Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26, 9900 Lienz","8.550,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Profil,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3, 1020 Wien","65.859,30"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Raiffeisenzeitung,"Raiffeisen Media GmbH Friedrich-Wilhelm-Raiffeisenplatz 1, 1020 Wien","74.253,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Rupertusblatt - Kirchenzeitung der Erzdiözese Salzburg,"Ordinariat der Erzdiözese Salzburg Kapitelplatz 2, 5020 Salzburg","69.208,80"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Woche,"Salzburger Woche Verlags GesmbH Ing. Ludwig-Pech-Str. 1, 5600 St. Johann im Pongau","82.324,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Sonntag,"Wiener Domverlag Ges.m.b.H. Stephansplatz 4/6/DG, 1010 Wien","72.033,70"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Sonntag - Kärntner Kirchenzeitung,"Seelsorgeamt der Diözese Gurk Tarviser Straße 30, 9020 Klagenfurt","50.443,70"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sonntagsblatt für Steiermark,"Bischöfliches Ordinariat - Diözese Graz-Seckau Bischofsplatz 4, 8010 Graz","83.938,40"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sportwoche,"Styria Multi Media Men GmbH & CoKG Geiselbergstraße 15, 1110 Wien","10.593,20"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sportzeitung,"Sportzeitung Verlags-GmbH Linke Wienzeile 40/22, 1060 Wien","18.522,90"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Sonntag - Kirchenzeitung der Diözese Innsbruck,"Diözese Innsbruck - Bischöfliches Ordinariat Riedgasse 9, 6020 Innsbruck","75.463,80"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,tv media,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstraße 1-3, 1020 Wien","83.938,40"
2015,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Zur Zeit - Die Wochenzeitung für Österreich,"W 3 Verlagsges.m.b.H. Salesianergasse 7, 1030 Wien","47.457,50"
2015,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neue Vorarlberger Tageszeitung,"NEUE Zeitungs GmbH Gutenbergstraße 1, 6858 Schwarzach","596.854,20"
2015,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3, 4010 Linz","607.146,80"
2015,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Die Presse,"Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburgerstraße 33, 1030 Wien","766.515,50"
2015,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Der Standard,"Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13, 1030 Wien","727.256,20"
2015,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,WirtschaftsBlatt,"WirtschaftsBlatt Medien GmbH Hainburgerstraße 33, 1030 Wien","544.226,30"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kleine Zeitung Steiermark und Kärnten,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","17.067,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kurier,"Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","13.879,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Kronenzeitung,"Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","6.414,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Vorarlberger Tageszeitung,"NEUE Zeitungs GmbH Gutenbergstraße 1, 6858 Schwarzach","3.000,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3, 4010 Linz","8.375,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23, 4020 Linz","5.111,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Die Presse,"Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33, 1030 Wien","3.559,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Salzburger Nachrichten,"Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40, 5020 Salzburg","abgelehnt, da keine Ausbildungstätigkeit im Sinne des § 10 Abs 1"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Der Standard,"Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13, 1030 Wien","13.067,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Vorarlberger Nachrichten,"Russmedia Verlag GmbH Gutenbergstraße 1, 6858 Schwarzach","3.500,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Sonntag – Kärntner Kirchenzeitung,"Bischöfliches Seelsorgeamt der Diözese Gurk Tarviser Straße 30, 9020 Klagenfurt","2.936,00"
2015,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),tv media,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3, 1020 Wien","8.283,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,fjum – forum für journalismus und medien,Karl-Farkas-Gasse 18 1030 Wien,"171.039,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Friedrich Austerlitz-Institut für JournalistInnenausbildung,Khleslplatz 12 1120 Wien,"11.218,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung",Tivoligasse 73 1120 Wien,"38.453,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,GESPU - Gesellschaft für Publizistik und Medienforschung,Alfred-Dallinger-Platz 1 1030 Wien,"7.735,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Katholische Medien Akademie,Stephansplatz 4/VI/1 1010 Wien,"47.507,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,OÖ Journalistenakademie,Puchberg 1 4600 Wels,"60.840,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Österreichische Medienakademie - Kuratorium für Journalistenausbildung,Karolingerstraße 40 5020 Salzburg,"254.841,00"
2015,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Tiroler Journalismus- akademie,Marktgraben 10 6020 Innsbruck,"16.767,00"
2015,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kleine Zeitung Steiermark und Kärnten,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","37.440,00"
2015,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kurier,"Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","40.000,00"
2015,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Die Presse,"Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33, 1030 Wien","40.000,00"
2015,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Salzburger Nachrichten,"Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40, 5020 Salzburg","40.000,00"
2015,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Der Standard,"Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13, 1030 Wien","40.000,00"
2015,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),WirtschaftsBlatt,"WirtschaftsBlatt Verlag AG Hainburgerstraße 33, 1030 Wien","40.000,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z1 PresseFG 2004",Verein Zeitung in der Schule,"Verein zur Förderung der Nutzung von Zeitungen in der Schule Schottenring 12, 1010 Wien","237.006,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kleine Zeitung Steiermark und Kärnten,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","18.693,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kurier,"Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","23.355,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Kronenzeitung,"Mediaprint Zeitungs- und Zeitschriften- verlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","19.380,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Vorarlberger Tageszeitung,"NEUE Zeitungs GmbH Gutenbergstraße 1, 6858 Schwarzach","335,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3, 4010 Linz","911,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23, 4020 Linz","24.950,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Presse,"Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33, 1030 Wien","38.158,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Salzburger Nachrichten,"Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40, 5020 Salzburg","29.009,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Der Standard,"Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13, 1030 Wien","41.668,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Tiroler Tageszeitung,"Schlüsselverlag J.S. Moser GmbH. Bruneckerstraße 33, 6020 Innsbruck","27.138,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Vorarlberger Nachrichten,"Russmedia Verlag GmbH Gutenbergstraße 1, 6858 Schwarzach","9.590,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",WirtschaftsBlatt,"WirtschaftsBlatt Verlag AG Hainburgerstraße 33, 1030 Wien","3.113,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",BVZ - Burgenländische Volkszeitung,"Burgenländische Volkszeitung GmbH Hauptstraße 52a, 7000 Eisenstadt","485,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Falter,"Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9, 1010 Wien","1.521,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Format,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3, 1020 Wien","1.444,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Furche,"Die Furche Zeitschriftenbetriebs- gesmbH & Co KG Lobkowitzplatz 1, 1010 Wien","15.660,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Hrvatske Novine,"Kroatischer Presseverein Hotterweg 54, 7000 Eisenstadt","576,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84, 4020 Linz","490,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kleine Kinderzeitung,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","7.245,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Murtaler Zeitung,"Murtaler Zeitung GmbH Murtaler Platz 1, 8750 Judenburg","144,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NEWS,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3, 1020 Wien","5.289,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NÖN,"Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12, 3100 St. Pölten","2.329,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Osttiroler Bote,"Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26, 9900 Lienz","49,00"
2015,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",profil,"Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3, 1020 Wien","8.527,00"
2015,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,Digital Natives Informationsbeschaffung und Informationsnutzungsverhalten bei Jugendlichen und jungen Erwachsenen im digitalen Zeitalter,Zeitung in der Schule ZiS – Verein zur Förderung von Zeitungen in der schulischen Ausbildung Schottenring 12/TOP 5 1010 Wien,"19.300,00"
2015,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,News Flow Management Wirtschaftliche und publizistische Chancen für die nationale und regionale Tagespresse in Österreich,Universität Salzburg / Univ.Prof. Dr. Josef Trappel Rudolfskai 42 5020 Salzburg,"25.804,00"
2015,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,Österreichischer Newsroom- Index Gesamterhebung zum Integrationsstatus der Newsrooms österreichischer Tageszeitungen und ihrer (digitalen) Medienkanäle,Medienhaus Wien – Forschung und Weiterbildung GmbH Alser Straße 22/8 1090 Wien,"20.000,00"
2015,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Klub der Wirtschaftspublizisten,Bauernmarkt 6/7 1010 Wien,"3.744,00"
2015,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Oberösterreichischer Presseclub,Landeskulturzentrum Ursulinenhof Landstraße 31 4020 Linz,"8.424,00"
2015,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Presseclub Concordia,Bankgasse 8 1010 Wien,"23.400,00"
2015,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Steirischer Presseclub,Bürgergasse 2 8010 Graz,"7.020,00"
2015,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Agrar- journalisten und -publizisten in Österreich (VAÖ),Schauflergasse 6 1014 Wien,"936,00"
2015,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Auslandspresse Wien,Bartensteingasse 13/12 1010 Wien,"3.276,00"
