Jahr,Organisation,Betrag
2005,Evangelisches Jugendwerk in Österr.,"145345,6"
2006,Evangelisches Jugendwerk in Österr.,"145345,6"
2007,Evangelisches Jugendwerk in Österr.,"145345,6"
2008,Evangelisches Jugendwerk in Österr.,"145345,6"
2009,Evangelisches Jugendwerk in Österr.,"152601,45"
2010,Evangelisches Jugendwerk in Österr.,"154345,6"
2011,Evangelisches Jugendwerk in Österr.,"154345,6"
2012,Evangelisches Jugendwerk in Österr.,"299691,3"
2013,Evangelisches Jugendwerk in Österr.,"299691,3"
2014,Evangelisches Jugendwerk in Österr.,"299691,3"
2015,Evangelisches Jugendwerk in Österr.,"299691,29"
2005,Haschomer Hazair,"14534,6"
2006,Haschomer Hazair,"14534,6"
2007,Haschomer Hazair,"14534,6"
2008,Haschomer Hazair,"14534,6"
2009,Haschomer Hazair,"23534,6"
2010,Haschomer Hazair,"23534,6"
2011,Haschomer Hazair,"23534,6"
2012,Haschomer Hazair,"23534,6"
2013,Haschomer Hazair,"23534,6"
2014,Haschomer Hazair,"23534,6"
2015,Haschomer Hazair,"23534,6"
2005,Jad Bejad,0
2006,Jad Bejad,0
2007,Jad Bejad,0
2008,Jad Bejad,0
2009,Jad Bejad,0
2010,Jad Bejad,6750
2011,Jad Bejad,"14534,6"
2012,Jad Bejad,0
2013,Jad Bejad,"14467,3"
2014,Jad Bejad,0
2015,Jad Bejad,"14534,6"
2005,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),0
2006,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"109009,3"
2007,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"58138,3"
2008,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"58138,3"
2009,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"159880,3"
2010,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"118009,3"
2011,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"118009,3"
2012,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"118009,3"
2013,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"118009,3"
2014,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),0
2015,Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich),"38069,2"
2005,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"109009,3"
2006,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"109009,3"
2007,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"159880,3"
2008,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"159880,3"
2009,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"118009,3"
2010,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"118009,3"
2011,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"118009,3"
2012,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"118009,3"
2013,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"118009,3"
2014,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"168880,3"
2015,Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich),"168880,3"
2005,Junge Liberale NEOS - JUNOS,0
2006,Junge Liberale NEOS - JUNOS,0
2007,Junge Liberale NEOS - JUNOS,0
2008,Junge Liberale NEOS - JUNOS,0
2009,Junge Liberale NEOS - JUNOS,0
2010,Junge Liberale NEOS - JUNOS,0
2011,Junge Liberale NEOS - JUNOS,0
