Jahr,Name_Zeitschrift,Name_Zeitschrift_clean,Förderungswerber,Förderungsbetrag,Nicht_gefördert
2015,NACHRICHTEN und Stellungnahmen der Katholischen Sozialakademie Österreichs,NACHRICHTEN und Stellungnahmen der Katholischen Sozialakademie Österreichs,"Katholische Sozialakademie Österreichs Schottenring 35/DG, 1010 Wien","5150,16",
2015,Der NEUE MERKER,Der NEUE MERKER,"Merker Verein, Dr. Sieglinde Pfabigan Peitlg. 7/3/4, 1210 Wien",1360,
2015,NICARAGUA-NACHRICHTEN,NICARAGUA – Nachrichten,"ARGE für Informationen über Nicaragua Hauptstraße 69, 3494 Brunn im Felde",1360,
2015,NU - Jüdisches Magazin für Politik und Kultur,NU - News über uns,"Verein Arbeitsgemeinschaft Jüdisches Forum Gölsdorfgasse 3, 1010 Wien","6866,89",
2015,ÖGL – Österreich in Geschichte und Literatur mit Geographie,ÖGL – Österreich in Geschichte und Literatur mit Geographie,Institut für Österreichkunde Hanuschgasse 3/4/1046 1010 Wien,"5150,16",
2015,PAX – Die Zeitung der Friedens-bewegung Pax Christi Österreich,PAX - Die Zeitung der Friedensbewegung Pax Christi Österreich,"Pax Christi Österreich Mengerstraße 23, 4040 Linz",1360,
2015,PRIDE - Das lesbisch/schwule Österreichmagazin,PRIDE - Das lesbisch/schwule Österreichmagazin,"Verein zur Förderung der Information über Schwule, Lesben und TransGender-Personen Gerstnerstraße 13, 4040 Linz","5150,16",
2015,QUART,QUART,"Forum katholischer Akademikerinnen und Akademiker Österreichs Währingerstraße 2-4, 1090 Wien","5150,16",
2015,REFORMIERTES KIRCHENBLATT,REFORMIERTES KIRCHENBLATT,"Evangelischer Oberkirchenrat H.B. Dorotheergasse 16, 1010 Wien","10300,33",
2015,RELIGIONEN UNTERWEGS,RELIGIONEN UNTERWEGS,"Petrus Bsteh, Kontaktstelle für Weltreligionen Fasangartengasse 101/7, 1130 Wien","5150,16",
2015,SAAT – Evangelische Kirchenzeitung für Österreich,SAAT – Evangelische Kirchenzeitung für Österreich,"Evangelischer Presseverband in Österreich Ungargasse 9/10, 1030 Wien","12017,19",
2015,SCHULHEFT,SCHULHEFT,"StudienVerlag GmbH Erlerstraße 10, 6020 Innsbruck","8583,61",
2015,Die SEITEN des Vereins für kulturelle Information,Die SEITEN des Vereins für kulturelle Information,"Verein für kulturelle Informationen Spengergasse 40/4, 1050 Wien",1360,
2015,SIO - SOZIALARBEIT in Österreich,SIO - SOZIALARBEIT in Österreich,"ÖBDS – Österreichischer Berufsverband der SozialarbeiterInnen Mariahilferstr. 81/1/3/14, 1060 Wien","5150,16",
2015,SOL,SOL,"Menschen für Solidarität, Ökologie und Lebensstil Penzinger Straße 18/2, 1140 Wien","5150,16",
2015,SPINNRAD,SPINNRAD,"Internationaler Versöhnungsbund – österr. Zweig Lederergasse 23/3/27, 1080 Wien","5150,16",
2015,STANDPUNKT,STANDPUNKT,"Evangelischer Bund in Österreich Ungargasse 9, 1030 Wien","5150,16",
2015,SWS-RUNDSCHAU,SWS-RUNDSCHAU,"Dr. Heinz Kienzl, Maria Theresien-Straße 9/8B, 1090 Wien","5150,16",
2015,TALK TOGETHER,TALK TOGETHER! Zeitschrift von und für MigrantInnen und NichtmigrantInnen,"Verein Salzburg - Kommunikation und Kultur E.-Heinrich-Straße 1b/10, 5020 Salzburg","5150,16",
2015,TARANTEL - Zeitschrift für Kultur von unten,TARANTEL - Zeitschrift für Kultur von unten,"Gerald Grassl Vivariumstraße 8/4/18, 1020 Wien","5150,16",
2015,UNSER AUFTRAG,UNSER AUFTRAG,"Offiziersgesellschaft Wien Schwarzenbergplatz 1, 1010 Wien",1360,
2015,URSACHE UND WIRKUNG – Buddhistische Aspekte,URSACHE & WIRKUNG - Buddhistische Aspekte,"Verein Ursache & Wirkung Fleischmarkt 16/1/1, 1010 Wien","5150,16",
2015,VOLKSSTIMME,VOLKSSTIMME,"Verein für Gesellschaftskritik Drechslergasse 42, 1140 Wien",1360,
2015,VORWÄRTS,VORWÄRTS,"Sozialistische LinksPartei/SLP Pappenheimgasse 2/1, 1200 Wien",1360,
2015,WE THE PEOPLE,THE GLOBAL PLAYER/ WE THE PEOPLE,"Verein ""Die Bunten, Forum für Würde, Gerechtigkeit und Demokratie"" Rotenlöwengasse 12/1, 1090 Wien","5150,16",
2015,WERKSATZ (ehemals SCHOTTENGASSE),SCHOTTENGASSE,"Verein der Freunde der Katholischen Medien Akademie Meixnergasse 1, 2020 Hollabrunn","5150,16",
2015,WERKSTATT-Blatt,WERKSTATT-Blatt (vormals Guernica),"Solidarwerkstatt Österreich Waltherstraße 15b, 4020 Linz",1360,
2015,WINA,WINA - Das Jüdische Stadtmagazin,"JMV Medien- und Verlags-GmbH, Desider Friedmann Platz , 1010 Wien","5150,16",
2015,WIR,WIR (vormals DIE KINDER),"Österreichische Kinderfreunde - Bundesorganisation Rauhensteingasse 5/5, 1010 Wien","5150,16",
2015,Das WORT – Evangelische Beiträge zu Bildung und Unterricht,Das WORT – Evangelische Beiträge zu Bildung und Unterricht,"FI Dr. Lars Amann, Evang. Schulamt Wien, Abt. Pflichtschulen Hamburgerstraße 3, 1050 Wien","5150,16",
2015,YOU! MAGAZIN,YOU! MAGAZIN,"Jugendverein für christlich-katholische Werte Ebendorferstraße 8, 1010 Wien",1360,
2015,YPSILON – MÄNNERMAGAZIN der katholischen Männerbewegung,YPSILON Männermagazin der katholischen Männerbewegung,"Kath. Männerbewegung der Diözese St. Pölten Klostergasse 15, 3100 St. Pölten",1360,
2015,ZEITZEICHEN,ZEITZEICHEN,"Katholische Arbeitnehmer - Bildungs- und Hilfswerk Österreich Spiegelgasse 3/2, 1010 Wien","5150,16",
2015,ZUKUNFT,ZUKUNFT,"VA Verlag GmbH Kaiserebersdorferstraße 305/3, 1110 Wien",2040,
2015,GLOBAL VIEW,Global View,"Akademisches Forum für Außenpolitik Johannesgasse 2/2/32, 1010 Wien",,Nicht gefördert
2015,INDIE MAGAZIN,Indie Magazin,"Steinmüller & Stachowitsch OG Schottenfeldgasse 76, 1070 Wien",,Nicht gefördert
2015,ÖSTERREICHISCHE ALPENZEITUNG,Österreichische Alpenzeitung,"Österreichischer Alpenklub Getreidemarkt 3/12, 1060 Wien",,Nicht gefördert
2015,ÖSTERREICHISCHER BURGENVEREIN,Österreichischer Burgverein,"Österreichischer Burgenverein Schloss 1, 8292 Neudau",,Nicht gefördert
2015,QUER,Queer,"QUER-Agentur e.U. Fuchsthallergasse 1/12, 1090 Wien",,Nicht gefördert
2015,REGENBOGEN,Regenbogen,"Bischöfliches Seelsorgeamt der Diözese Gurk Tarviser Straße 30, 9020 Klagenfurt",,Nicht gefördert
