Kulturschutzgut;Bundesland;Politischer Bezirk;Gemeinde;Kastralgemeinde;UTM;Lat;Long
Denkmalanlage Wien XI;Wien;Wien XI - Simmering ;Wien ;Kaiserebersdorf (01103) ;UTM 33 ;607243,1 ;5333917,76 
Ensemble Rattenberg;Tirol;Kufstein ;Rattenberg ;Rattenberg (83115), Radfeld (83114) ;UTM 32 ;718167,00 ;5258085,00 
Denkmalanlage Stift Seitenstetten;Niederösterreich;Amstetten ;Seitenstetten ;Seitenstetten Markt (03223) ;UTM 33 ;474237,00 ;5320314
Ensemble Dornbirn;Vorarlberg;Dornbirn ;Dornbirn ;Dornbirn (92001) ;UTM 32 ;557270,70 ;5250689,80 
Karnburg;Kärnten;Klagenfurt Land ;Maria Saal ;Karnburg (72125) ;UTM 33 ;447712,42 ;5170429,01 
Denkmalanlage Schloss Ambras;Tirol;Innsbruck (Statutarstadt) ;Innsbruck (Statutarstadt) ;Innsbruck (81113) ;UTM 32 ;684182,00 ;5236510,00
Ensemble Hohenems;Vorarlberg;Dornbirn ;Hohenens ;Hohenems (92004) ;UTM 32 ;551956,70 ;5245984,40 
Ensemble Schwarzenberg;Vorarlberg;Bregenz ;Schwarzenberg ;Schwarzenberg (91018) ;UTM 32 ;564336,30 ;5251489,50 
Zlapp und Hof;Kärnten;Spittal an der Drau ;Heiligenblut ;Zlapp und Hof (73518) ;UTM 33 ;336020,36 ;5211801,09 
Denkmalanlage Stift Admont;Steiermark;Liezen ;Admont ;Admont (67401) ;UTM 33 ;459538,00 ;5269247,00 
Denkmalanlage Schloss Leopoldskron;Salzburg;Salzburg (Statutarstadt) ;Salzburg (Statutarstadt) ;Leopoldskron (56527) ;UTM 33 ;353102,80 ;5294635,80 
Ensemble Zwettl;Niederösterreich;Zwettl ;Zwettl – Niederösterreich;Zwettl Stadt (24392) ;UTM 33 ;512361,00 ;5383589,00 
Ensemble Eferding;Oberösterreich;Eferding ;Eferding ;Eferding (45005) ;UTM 33 ;427535,00 ;5351192,00 
Denkmalanlage Schloss Halbturn;Burgenland;Neusiedl an See ;Halbturn ;Halbturn (32009) ;UTM 33 ;647581,36 ;5304259,79 
Denkmalanlage Schloss Kleßheim;Salzburg;Salzburg-Umgebung ;Wals-Siezenheim ;Siezenheim I (56542), Liefering I (56553) ;UTM 33 ;349689,20 ;5298193,00 
Rohrau;Niederösterreich;Bruck an der Leitha ;Rohrau ;Rohrau (05017) ;UTM 33 ;637975,00 ;5324909,00 
Ensemble Bad Gastein;Salzburg;Sankt Johann im Pongau ;Bad Gastein ;Badgastein (55001) ;UTM 33 ;358481,80 ;5219316,50 
Denkmalanlage Stift Klosterneuburg;Niederösterreich;Wien-Umgebung ;Klosterneuburg ;Klosterneuburg (01704) ;UTM 33 ;598391,00 ;5351276,00 
Ensemble St. Florian Marktplatz;Oberösterreich;Linz-Land ;Sankt Florian ;St. Florian Markt (35331) ;UTM 33 ;453969,00 ;5339418,00 
Denkmalanlage Stift Heiligenkreuz;Niederösterreich;Baden ;Heiligenkreuz ;Heiligenkreuz (04012) ;UTM 33 ;584334,00 ;5323002,00 
Ensemble Leoben;Steiermark;Leoben ;Leoben ;Leoben (60327), Mühltal (60338) ;UTM 33 ;507004,00 ;5247736,00 
Denkmalanlage Stift Lambach;Oberösterreich;Wels-Land ;Lambach ;Lambach (51117) ;UTM 33 ;416390,00 ;5326996,00 
Ensemble Maria Luggau;Kärnten;Hermagor ;Lesachtal ;Luggau (75107) ;UTM 33 ;326875,92 ;5175124,05 
Ensemble Retz;Niederösterreich;Hollabrunn ;Retz ;Retz Altstadt (18122) ;UTM 33 ;569920,00 ;5400874,00 
Ensemble Mörbisch;Burgenland;Eisenstadt-Umgebung ;Mörbisch am See ;Mörbisch am See (30012) ;UTM 33 ;625014,67 ;5290158,08 
Linz;Oberösterreich;Linz (Statutarstadt) ;Linz (Statutarstadt) ;Linz (45203) ;UTM 33 ;447053,00 ;5349904,00 
Kefermarkt-Kath. Pfarrkirche hl Wolfgang mit Flügelaltar;Oberösterreich;Freistadt ;Kefermarkt ;Kefermarkt (41008) ;UTM 33 ;465904,00 ;5365679,00 
Denkmalanlage Schloss Laxenburg;Niederösterreich;Mödling ;Laxenburg, Achau, Münchendorf ;Laxenburg (16117), Achau (16101), Münchendorf (16120) ;UTM 33 ;602242,00 ;5324478,00 
Denkmalanlage Schloss Schönbrunn;Wien;Wien XII – Meidling, Wien XIII – Hietzing, Wien XIV - Penzing;Wien, XII, XIII, XIV;Schönbrunn (01212), Hietzing (01205), Meidling (01305), Penzing (01210);UTM 33;597414.83;5337316.80
Ensemble Pürgg;Steiermark;Liezen ;Stainach-Pürgg ;Pürgg (67313) ;UTM 33 ;429833,00 ;5264583,00 
Ensemble Wolfsberg;Kärnten;Wolfsberg ;Wolfsberg ;Wolfsberg Obere Stadt (77258), Schloßbach (77239) ;UTM 33 ;488193,01 ;5187193,07 
Ensemble Eisenstadt;Burgenland;Eisenstadt (Statutarstadt) ;Eisenstadt (Statutarstadt) ;Eisenstadt (30003) ;UTM 33 ;614074,72 ;5300285,73 
Raiding;Burgenland;Oberpullendorf ;Raiding ;Raiding (33047) ;UTM 33 ;615015,20 ;5269293,66 
Ensemble Krems;Niederösterreich;Krems an der Donau (Statutarstadt) ;Krems an der Donau (Statutarstadt) ;Krems (12114) ;UTM 33 ;544370,00 ;5362169,00 
Denkmalanlage Stift Geras;Niederösterreich;Horn ;Geras ;Geras (10208) ;UTM 33 ;549481,00 ;5405241,00 
